Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
CNOT10,6.096392456,6.131755072,5.935829587,5.619661787,5.764933867,5.374182151,5.701386653,5.829552625,6.141011667,5.902784711,5.870759741,5.805159948,5.817467826,5.722029678
CNOT11,5.080525629,5.372000226,5.172039124,5.301652681,5.360845537,5.113736686,5.402519895,5.162701023,5.350887027,5.426143832,5.624589186,5.253546501,5.365506527,5.184810841
CNOT2,6.045984536,6.583229595,6.541309927,6.382408952,6.400577375,6.016720432,6.318764168,6.360553549,6.610599832,6.437562349,6.36548223,6.256078781,6.440660957,6.371333057
CNOT3,6.171037884,6.484487311,5.963106867,6.120822041,6.153778356,5.707299919,5.871856483,6.180978467,6.598505319,6.341008529,6.270963381,6.092068779,6.178126763,6.123138835
CNOT4,4.77700106,5.115916459,5.020771295,5.084873148,5.089711234,4.98862622,4.749080227,4.936887459,5.388460972,5.06426405,4.958575485,4.92839815,4.975132063,5.033987513
CNOT6,7.111689241,7.57667557,7.262295766,7.583562898,7.801392297,7.158060235,7.43696426,7.612553588,7.731679994,7.511032253,7.647076772,7.548345636,7.816747274,7.571139601
CNOT6L,5.488673033,5.868261057,5.992717053,6.011544559,6.194657853,5.825094194,5.855287971,5.898028896,5.924017602,5.745703944,5.743562787,5.908644769,6.232662246,6.405148647
CNOT7,6.288633894,6.961069227,6.734604159,6.634477813,6.67728448,6.080540545,6.635618452,6.687166916,6.894388946,6.790735594,6.730036012,6.636968605,6.84862187,6.524125737
CNOT8,6.908855374,6.405447926,6.525712818,6.498875314,6.40353574,6.415315643,6.411438834,6.661444175,6.643934811,6.491153938,6.571633182,6.420219114,6.473226577,6.351890421
CNOT9,6.381850265,6.130409014,6.152737418,6.392426292,6.256831501,5.914112175,6.430801822,6.407374249,6.451333094,6.279813987,6.589150202,6.380901386,6.495119824,6.299561731
CNP,8.844310013,5.906510263,5.829743566,6.435048559,6.329561055,5.725950349,6.528505806,7.168030691,6.397622679,6.768061658,5.926945866,6.107969595,6.763852996,6.419403083
CNPPD1,6.823391986,6.863981152,6.443710423,6.73918849,6.557025637,5.993225599,6.535594439,6.358070532,6.809215688,6.689397801,6.636253355,6.308312209,6.382441389,6.645962398
CNPY1,0,0,0,0,0,0,0.214727532,0,0,0,0,0,0,0
CNPY2,7.23428181,6.819569119,7.379733477,6.924106662,6.581788273,6.536484869,7.093632472,6.829513333,6.297634027,6.998335695,6.969559874,6.719732404,6.614871938,6.278227792
CNPY3,6.626445371,5.833940383,6.285234932,5.80706618,5.827069128,6.214581715,5.788439954,5.914494195,5.545888523,6.038757605,5.939291763,5.709867669,5.5385117,5.575610069
CNPY4,5.677626223,4.850863197,4.734542854,5.163412637,5.553211679,5.342922829,4.876715775,5.243230977,5.444670763,4.877765864,4.683203535,5.00759132,5.185969638,5.550690675
CNR1,1.889293222,0.667695961,1.030857182,0.696019351,1.623393155,0.792532404,0.279744216,1.117893791,0.807796492,0.473481327,0.301456492,1.548153373,1.081217544,1.699698797
CNR2,1.258968882,1.033005438,1.323233176,2.008142559,2.434230115,2.972780619,1.424970231,1.62176153,1.303599247,1.143086025,1.424821449,1.971222897,1.591308195,3.037056126
CNRIP1,1.767244956,0.667695961,0.842263475,1.188280101,2.575236935,4.613524866,1.086371457,1.371156837,1.915986973,0.994739417,0.811685461,1.496376209,1.39881035,2.820030062
CNST,4.570241672,5.126757886,4.84967841,5.066638332,4.952623848,5.190118711,5.207446942,5.090523418,4.622084562,5.06798153,5.226000285,4.684159636,4.781141875,4.859352098
CNTD1,0.113641384,0.091385254,0.415581427,0.389582602,0.230714179,0.655563437,0.279744216,0.356293697,0.091210978,0.175665483,0.301456492,0.141556047,0.292090018,0.407643063
CNTF,0.113641384,0.091385254,0.273393639,0.054850966,0.230714179,0.073537465,0.247602099,0.119817113,0.442494352,0.119453828,0.606795547,0.388776653,0.162435231,0.259185098
CNTFR,0.863586969,1.597970954,0.322363253,5.041395307,5.593148026,3.809531626,3.211785258,4.422545121,4.657958154,3.312445191,2.028265186,3.885600051,6.436033464,5.355564359
CNTLN,1.743900841,1.20655153,3.493834422,1.260064522,2.29842208,4.32067414,1.24130336,2.076832558,1.465779822,1.143086025,1.294208868,2.033097737,1.409168967,2.351363969
CNTN1,0,0,0.115644602,0,0.272738469,0,0.11135503,0.42098109,0,0,0,0.095896736,0,0.384112397
CNTN2,0.317150059,0.091385254,0,0.472506407,1.639543054,1.603812885,0.11135503,0.356161982,1.264941985,0,0.492293075,0.725025781,0.538090746,1.856934361
CNTN3,0,0,0.773491516,0,0,0,0,0.082676796,0,0,0,0,0,0
CNTN5,0.149616054,0,0,0,0.142804739,0,0.03808137,0.235110685,0,0,0,0,0.034721188,0.106776042
CNTNAP1,1.191545018,2.158922287,1.842870232,1.350537807,1.791815196,2.485902903,1.395937308,1.333822475,1.701152957,1.976363609,1.327987216,1.24767834,1.350647179,1.601970658
CNTNAP2,0.988025108,0.543741997,0.222703262,0.763438993,0.502022617,1.270188464,0.849938124,0.716014453,1.413719369,0.56049917,0.606795547,1.11663182,0.403727334,0.247809846
CNTNAP4,0.038883608,0,0,0.054850966,0.187428942,0.143507655,0,0.098747001,0.091210978,0.060962895,0,0.04874501,0.08385724,0.182450965
CNTRL,4.472435696,5.396844043,4.826526225,4.9375855,5.261295291,5.080677382,4.866169584,5.067911197,4.952154823,4.810567819,5.049963325,4.762963808,5.121840778,5.04492632
CNTROB,4.484810238,4.513563406,4.621694734,4.020542592,4.124312149,3.674244738,3.966325004,4.234217428,4.610568196,4.103133467,4.138793102,3.989133104,4.441672031,4.096452847
COA3,6.675466593,6.162372778,6.145952099,6.069300658,5.775934037,5.886321579,6.31052263,6.239209071,5.935601576,6.2416467,6.484457393,6.17537456,5.896649644,5.766223403
COA4,3.726690934,3.689463011,3.520310146,4.08784385,3.764471278,3.82025314,4.138336842,3.870374766,3.495576983,3.90954014,4.248691701,3.834386802,3.84838558,3.78339954
COA5,6.347414544,7.000653005,7.143414747,7.270700352,6.968094349,7.414377148,7.225825329,7.010367487,6.683862056,7.165109427,7.38806873,7.111164843,7.100164532,6.939440158
COA7,4.432838542,3.880926425,4.240464098,3.714719302,3.914694003,4.014817822,4.038548641,4.006354367,3.974256378,3.892869525,4.162389238,4.341887751,4.070268283,3.886629942
COA8,4.405203572,5.150857263,4.973648779,5.142988766,4.76661908,4.743127635,5.346716598,4.976064387,4.905793962,5.168362379,5.23937492,5.145641215,4.838970216,4.827671345
COASY,6.631621885,6.737072185,6.25953392,6.515470171,6.153075402,5.096199377,6.6941801,6.455325167,6.337766479,6.684562964,6.698909776,6.409760966,6.209899195,5.975123703
COBL,4.816700161,6.551395932,5.76035755,5.936850783,5.466470125,4.874954392,6.377031472,5.459544381,5.321755861,6.647154667,6.69810277,6.034993863,5.54045189,5.160342744
COBLL1,5.03196161,6.060039363,7.153598627,5.82394226,5.820000685,4.25896541,5.822251108,5.962996395,5.752118387,6.154295392,5.986323714,5.665624491,5.730971486,5.538240054
COCH,0,0,0,0.054850966,0.049189022,0,0.11135503,0.020860466,0,0,0,0.095896736,0.053324589,0.308898071
