gene_id,MCF7_1,MCF7_2,MCF7_3,TamR_1,TamR_2,TamR_3
NMUR2,0,0,0,0,0,0
NNAT,0.650764559,0.910732662,0.097610797,0.839959587,0.970853654,0.97819563
NNMT,0,0,0,0,0,0
NNT,4.456806149,4.297925053,4.300855871,4.818134761,4.659353759,4.688180359
NOA1,5.625270489,5.439290681,5.559491813,5.877989585,5.648465443,5.737416366
NOB1,6.539313931,6.476381688,6.465648026,6.227278994,6.205157884,6.192588722
NOBOX,0,0,0,0,0,0.056583528
NOC2L,6.624539604,6.689019541,6.715206994,6.529196268,6.673132372,6.689159358
NOC3L,3.63691458,3.163498732,3.370164281,3.935459748,3.627606838,3.665620164
NOC4L,4.937815169,4.969012308,5.102658131,4.931210275,4.934044647,4.903520374
NOD1,1.89917563,2.153805336,2.173127433,2.295723025,2.292781749,2.456806149
NOD2,0.084064265,0.201633861,0,0.23878686,0.137503524,0.189033824
NODAL,0.042644337,0.056583528,0.275007047,0.150559677,0.250961574,0.298658316
NOG,0.163498732,0.40053793,0.50589093,0.176322773,0.056583528,0.176322773
NOL10,5.037821465,4.766065051,4.742545234,5.081510068,4.963011648,4.794935663
NOL11,6.80309785,6.242221395,6.478648295,7.088523257,6.836429131,6.842853156
NOL12,3.720278465,3.94204526,3.802193217,3.673556424,3.862947248,3.745237332
NOL3,6.331096084,6.052459369,6.29994063,6.24431626,6.160274831,6.052241981
NOL4,0.056583528,0,0,0,0,0
NOL6,5.165911939,5.097189387,5.157447996,5.072963272,5.085764554,5.078097423
NOL7,7.495535281,7.221587121,7.141289724,7.444517993,7.188836073,7.127942749
NOL8,4.079804755,3.651912745,3.676944359,3.869871406,3.548436625,3.62058641
NOL9,2.589763487,2.263034406,2.397802962,2.666756592,2.378511623,2.625270489
NOLC1,6.383704292,6.233427944,6.145269857,6.63284983,6.507318948,6.535119822
NOM1,3.300123725,3.033863452,3.155425432,3.40053793,3.224966365,3.212569339
NOMO1,6.988684687,6.913846824,6.885574364,7.046687492,6.902797158,6.916237768
NOMO2,6.496014873,6.436961338,6.375039431,6.691394579,6.434461432,6.424250286
NOMO3,6.170525999,6.033202726,5.947432389,6.254367281,6.274820737,6.33073765
NONO,8.143281163,8.177220188,8.106798463,8.186659017,8.172377501,8.205206768
NOP10,7.900564957,8.183039821,8.113950482,8.375169789,8.350629842,8.290710069
NOP14,5.264536431,5.038699551,5.014801602,5.338780944,4.995032192,5.110196178
NOP14-AS1,3.13422094,3.189033824,3.161887682,2.941106311,2.879705766,3.068670811
NOP16,6.324990569,6.56193706,6.514595715,6.281512802,6.475409193,6.433960931
NOP2,5.600210274,5.67468662,5.524502537,5.673556424,5.745237332,5.790250739
NOP56,7.217715411,7.241458871,7.174725988,7.346513733,7.284847229,7.307428525
NOP58,6.761285273,6.507160349,6.583308465,6.594100624,6.335032987,6.412612185
NOP9,5.120600774,4.879705766,4.989139007,4.665620164,4.710393192,4.663344619
NOS1,0.097610797,0.028569152,0.111031312,0.124328135,0.084064265,0.084064265
NOS1AP,2.746312766,2.653060017,2.521050737,0.956056652,0.731183242,0.695993813
NOS2,0.056583528,0.070389328,0,0.097610797,0.124328135,0.124328135
NOS3,0.35614381,0.35614381,0.475084883,0.201633861,0.124328135,0.070389328
NOSIP,6.452529545,6.815575429,6.711219557,6.608957052,6.6813087,6.748461233
NOSTRIN,0.632268215,0.5360529,0.35614381,0.713695815,0.722466024,0.389566812
NOTCH1,2.189033824,2.280956314,2.313245852,2.201633861,2.275007047,2.070389328
NOTCH2,5.510961919,5.323009711,5.327687364,6.238022518,6.086613947,6.108524457
NOTCH2NL,4.181102551,4.118525849,4.203984166,4.28169825,4.247168,4.27351589
NOTCH3,6.086613947,6.113950482,6.11914864,6.297558281,6.249634957,6.311067102
NOTCH4,0.22650853,0.333423734,0.201633861,0.214124805,0.189033824,0.275007047
NOTO,0,0,0,0,0,0
NOTUM,0.111031312,0.097610797,0,0.084064265,0.084064265,0.411426246
NOV,0.454175893,0.22650853,0.344828497,1.049630768,0.992768431,1.03562391
NOVA1,2.003602237,1.778208576,1.516015147,0.910732662,0.650764559,0.704871964
NOVA2,1.03562391,0.604071324,1.021479727,0.23878686,0.056583528,0.176322773
NOX1,0.097610797,0.042644337,0.056583528,0.263034406,0.150559677,0.042644337
NOX3,0.084064265,0.150559677,0.604071324,0.097610797,0,0.056583528
NOX4,0.097610797,0.163498732,0.150559677,0.070389328,0.084064265,0.189033824
NOX5,0.5360529,0.555816155,0.659924558,1.007195501,1.163498732,1.40599236
NOXA1,4.001802243,3.958842675,4.341985747,3.996388746,4.130107179,4.140778656
NOXO1,1.613531653,1.757023247,1.570462931,2.046141782,1.599317794,1.700439718
NOXRED1,0.687060688,0.411426246,0.411426246,0.669026766,0.516015147,0.799087306
NPAP1,0.275007047,0.50589093,0.422233001,0.422233001,0.378511623,0.432959407
NPAS1,1.250961574,0.82374936,1.613531653,1.35614381,1.321928095,1.454175893
NPAS2,3.436961338,3.587364991,3.346247774,1.948600847,2.169925001,1.89917563
NPAS3,1,0.695993813,0.782408565,1.40599236,1.510961919,1.459431619
NPAS4,0,0,0,0,0,0
NPAT,2.788685711,2.370164281,2.440952198,3.047887329,2.841973119,2.906890596
NPB,3.046141782,2.627606838,2.580145484,3.682573297,2.257010618,2.286881148
NPBWR1,0,0,0,0,0,0
NPBWR2,0,0,0,0,0,0
NPC1,4.777156666,4.712045449,4.699884729,4.555202634,4.457462965,4.622344723
NPC1L1,0.163498732,0.124328135,0.163498732,0.137503524,0.310340121,0.111031312
NPC2,6.5905122,6.570614722,6.542103246,7.266411766,7.171126747,7.094447222
NPDC1,7.989252565,7.829215325,7.950993232,8.28132733,8.125258473,8.063880392
NPEPL1,7.551439113,7.653346693,7.679198571,7.515147882,7.556965805,7.494095545
NPEPPS,6.603923013,6.3652726,6.411765185,6.213152835,6.028790136,6.00966069
NPFF,0.687060688,1.389566812,1.275007047,1.244887059,1.604071324,1.66448284
NPFFR1,0,0,0.097610797,0,0,0.163498732
NPFFR2,1.111031312,1.280956314,0.695993813,0.933572638,0.565597176,1.13093087
NPHP1,2.032100843,1.469885976,1.613531653,1.555816155,1.510961919,1.722466024
NPHP3,2.424922088,1.90303827,2.176322773,1.97819563,1.819668183,1.963474124
NPHP3-ACAD11,1.389566812,1.042644337,1.176322773,0.86393845,0.757023247,0.956056652
NPHP3-AS1,0.028569152,0,0.056583528,0,0,0
NPHP4,2.965322548,3.087462841,3.047887329,2.797012978,2.599317794,2.702657543
NPHS1,0.367371066,0.250961574,0.333423734,0.263034406,0.23878686,0.40053793
NPHS2,0,0,0,0,0,0
NPIPA1,6.508428653,6.414812061,6.279099802,6.763677142,6.37086174,6.191207302
NPIPA2,4.138323004,4.068670811,4.176322773,4.017031081,4.184280294,3.735522177
NPIPA3,0,0,0,0,0,0
NPIPA5,4.624685811,4.173926932,3.769771739,4.268284667,4.019701914,4.798050515
NPIPB3,5.220716892,5.233427944,4.623515741,5.411765185,5.093391153,4.998646839
NPIPB5,5.039138394,5.110196178,5.106432078,5.292045492,5.277612871,5.278356528
NPL,1.169925001,0.748461233,0.807354922,1.304511042,1.384049807,1.411426246
NPLOC4,6.482041542,6.506684448,6.468909092,6.376776572,6.332886917,6.341096238
NPM1,10.84414866,10.33194701,10.456262,10.71567033,10.31179372,10.34329677
NPM2,0,0,0,0,0,0
NPM3,5.708739041,5.85124932,5.948834426,6.0721058,6.230933093,6.297191417
NPNT,6.350497247,6.034083627,6.185470146,4.508428653,4.412104045,4.384740587
NPPA,0.275007047,0.454175893,0.40053793,0.084064265,0,0.367371066
NPPA-AS1,0.641546029,0.704871964,0.790772038,0.5360529,0.485426827,0.773996325
NPPB,0,0.422233001,0,0,0,0
