Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9,WT10,Mut3,Mut4,Mut5,Mut6,Mut7,Mut8,Mut9,Mut10
FKBP5,7.062706972,5.890696147,5.13824938,6.268818373,6.146026961,6.319382109,6.084104404,6.866848227,6.337986066,6.626887328,6.274193096,6.047161561,6.002110059,5.878770427,6.176231745,5.805414307,5.872437311
FKBP6,0.218981154,0.177325074,1.645335193,0.158667125,0,0,0.430517479,0.272000591,0.269496023,0.47672784,0.281916388,0.492293075,0.185814524,0.069442376,0.106649177,0.040587134,0
FKBP7,3.047317751,1.930504454,1.645335193,1.573540023,3.485020002,5.697156613,2.05526493,2.468568655,2.276099069,2.518947538,1.424013082,1.544584628,2.892625628,2.239698283,2.405059169,3.498272429,3.267224308
FKBP8,8.588368548,7.786496713,8.208571038,7.775158128,7.492128394,7.717957236,7.996133316,7.919594311,7.917852688,7.859006677,8.005097316,8.013292885,7.829492369,7.80088864,7.818184261,7.984930341,7.696550132
FKBP9,7.05561407,5.235929417,7.284476761,5.540193331,6.646649005,8.873693805,5.700644864,6.769084152,6.469431609,5.958494168,5.429037415,4.886731522,6.411509264,5.779302063,6.03313565,6.929115446,6.680833398
FKBPL,4.348293015,3.451499318,3.329884917,3.438686111,3.524689376,3.118887654,3.438700457,3.248948359,3.571129942,3.474554945,3.611415391,3.4660762,3.34213121,3.483200243,3.172761413,3.33654209,3.146064985
FKRP,5.665253153,5.309142181,5.366985961,5.404227462,5.214895242,5.522702604,5.530755731,5.654793494,5.600002199,5.001487914,5.510522141,5.474324038,5.389856303,5.194844283,5.435468849,5.257886188,5.132389334
FKTN,5.045152274,5.306760679,6.45336076,5.221507058,5.358408206,4.905482151,5.563763484,5.890013364,5.425825329,5.099489928,5.441987199,5.641478559,5.117354932,5.460214204,5.451999592,5.044974022,5.173660817
FLAD1,5.494804324,5.599171235,5.161985037,5.450987745,5.092647025,4.969489602,5.506343876,5.263255147,5.456997159,5.113156512,5.754958185,5.527988658,5.278030133,5.181183764,5.213303903,5.186207909,4.954374902
FLCN,5.975076315,5.948362243,6.023583742,5.863849201,5.707681484,6.082768435,5.772291944,5.591463022,5.703542097,5.931750577,5.835678874,5.846201717,5.754632025,5.635018425,5.522324661,5.925411265,5.797722285
FLI1,3.117115515,2.639559398,2.274743351,2.760011618,3.657508621,5.779124055,2.604549672,2.899476097,2.875317305,3.020372986,2.182458593,2.527058614,3.214420744,2.870228959,2.843244925,3.958980455,4.091196741
FLII,7.036227146,7.168096249,6.539369485,6.806164588,6.839866258,7.138381662,6.804275695,6.860238329,6.868729062,7.171492366,6.995410491,6.840206588,6.737496932,6.788161031,6.992393601,6.985425499,6.923085594
FLNA,9.594060403,9.402935275,8.053601838,8.783072972,9.478059408,10.13564406,8.948393724,9.120586129,9.239982199,9.542314782,8.703730287,8.867086755,9.18599412,9.198700454,9.503994704,9.476709808,9.721126101
FLNB,8.232500095,8.543863367,7.716409651,8.10336085,8.343723731,8.283908121,8.238352665,8.410624578,8.288042835,7.99789866,8.312792181,8.348189775,8.362747444,8.220601804,8.531107839,8.066579423,8.544415082
FLNC,4.393999643,1.078388029,0.663766518,0.977312758,3.247527827,8.413243918,3.399012603,2.110930248,2.276099069,4.434522551,1.143086025,0.606795547,1.971222897,1.892238172,2.835512066,4.769680256,3.40563169
FLOT1,7.773720505,6.922703381,5.980373785,6.744933571,6.405898072,7.308894237,6.953085368,6.580898241,6.816356645,6.545563609,6.932060093,6.809151268,6.606256806,6.369531429,6.599650587,6.695308601,6.308028555
FLOT2,7.211859212,6.045829595,2.103206125,5.957690105,5.730478865,6.699972912,6.187790631,6.826726801,6.020900804,5.930979142,6.059446227,5.673033643,5.887025968,5.903938961,6.272443738,6.254090107,5.961540104
FLRT1,0.038883608,0,0,0.625293958,1.146596432,1.361101256,0.14664195,0.306986896,0.555281434,1.076892588,0,0.081471877,0.566675328,0.916551968,1.130423524,1.209445189,1.45679185
