"","SUM44_P1","SUM44_P2","SUM44_P3","SUM44_TamR1","SUM44_TamR2","SUM44_TamR3"
"DLG4",5.17954,5.01526,5.09652,5.30033,5.27174,5.35467
"DLG5",9.98855,9.51791,9.34256,9.44525,9.54692,9.06064
"DLGAP1",5.03736,5.03657,5.04283,5.13883,4.96691,5.36086
"DLGAP2",4.57397,4.55764,4.76322,4.7757,4.63542,4.93275
"DLGAP4",7.52918,7.31919,7.21588,7.32802,7.27968,7.35395
"DLGAP5",6.157,7.29054,7.7711,6.66975,7.00597,7.45445
"DLK1",4.08749,4.15028,4.15247,4.07753,4.25243,4.21207
"DLX2",5.39489,5.51801,5.26198,5.8086,5.58838,6.47086
"DLX4",6.39691,5.95099,5.49024,5.46205,5.49239,6.04275
"DLX5",4.76757,4.9861,4.72676,5.00718,4.8321,5.20683
"DMAC2",8.83904,9.10839,9.29051,8.97753,8.91725,8.48918
"DMAC2L",6.78824,7.56275,7.82053,7.8043,7.77356,7.64886
"DMBT1",6.51106,6.41661,6.4372,6.64512,6.54369,6.47002
"DMC1",4.13804,4.1893,4.20738,4.0243,4.16001,3.99851
"DMD",5.17725,5.09446,5.15641,5.26222,5.12661,5.10535
"DMP1",3.77303,3.73212,3.79801,3.97758,3.67706,4.37258
"DMPK",6.57299,6.46655,6.43996,6.71165,6.53766,6.65432
"DMTF1",6.83965,7.16675,7.17525,6.78537,6.68286,6.7449
"DMTN",6.07346,6.01846,6.05841,6.13451,6.04303,6.71875
"DMWD",7.63891,7.71691,7.75625,7.8054,7.69181,8.1974
"DMXL1",6.55947,6.8146,7.43592,6.03247,6.17003,5.99104
"DMXL2",4.85678,4.98787,4.94952,4.81031,4.68221,4.7736
"DNA2",6.03871,6.50782,6.84023,6.13109,6.2922,6.0862
"DNAAF1",5.76202,5.91882,5.66779,5.79163,5.61152,6.29979
"DNAAF5",9.13296,9.18497,9.16706,9.2884,9.08052,8.69419
"DNAH17",5.105,5.33806,5.12717,5.46416,5.18467,5.69553
"DNAH2",4.8707,4.957,4.88094,4.93908,4.88676,5.15351
"DNAH3",6.55706,6.61531,6.785,6.625,6.61475,6.53909
"DNAH6",5.75764,5.95109,5.85902,5.93492,5.89032,5.58043
"DNAH7",4.50946,4.37104,4.38965,4.4585,4.619,4.32566
"DNAH9",5.39594,5.44351,5.40456,5.36945,5.43414,5.91814
"DNAJA1",10.6905,10.9921,11.0304,10.71,10.4628,10.8296
"DNAJA2",9.18305,9.09841,9.0904,8.76561,9.24662,8.5737
"DNAJA3",10.1062,9.98823,10.2855,10.3724,10.2293,9.85903
"DNAJB1",10.0226,9.92495,9.98825,10.3225,10.1086,9.79883
"DNAJB12",8.26394,8.17625,8.07791,8.37974,8.43125,8.0077
"DNAJB2",8.76339,8.25866,8.09055,8.284,8.16825,8.13142
"DNAJB4",4.7715,4.84276,4.91651,4.64944,4.7926,4.71626
"DNAJB5",5.72012,5.66954,5.79028,5.61314,5.56429,6.0411
"DNAJB6",8.89895,8.7759,8.82459,8.89376,8.83111,8.18164
"DNAJB9",8.8372,8.77592,8.86472,8.9428,8.93831,9.18283
"DNAJC1",10.2067,9.70053,9.47692,9.4765,9.71428,9.88832
"DNAJC11",8.80547,9.01834,9.08828,9.19232,9.00885,8.56843
"DNAJC13",6.5232,6.90879,6.84304,6.12219,6.23993,5.97396
"DNAJC15",8.44274,8.07655,6.57727,4.92356,4.62772,4.75813
"DNAJC16",8.29616,8.31171,8.37273,8.18464,8.167,7.89227
"DNAJC2",8.21427,8.25293,8.32956,7.98499,7.80086,8.35048
"DNAJC24",6.38572,6.60491,6.53003,6.21791,6.45594,6.13647
"DNAJC3",5.09982,5.14052,4.94069,5.13041,4.99004,5.03814
"DNAJC4",6.37815,6.08236,6.09794,6.31175,6.44383,6.37584
"DNAJC6",5.84334,5.93483,5.71535,6.4785,6.38975,6.61762
"DNAJC7",7.71695,7.44875,7.7443,7.50656,7.20671,7.35897
"DNAJC8",8.88306,8.65395,8.81942,8.88327,8.94266,8.74015
"DNAJC9",8.64967,9.10871,9.35232,9.05365,8.9326,8.86563
"DNAL4",7.36798,7.13579,6.73915,7.22403,7.45449,6.81048
"DNALI1",6.78366,6.79723,6.7927,7.00228,6.96851,6.51236
"DNASE1",5.80852,5.59115,5.63606,5.68187,5.62297,5.71873
"DNASE1L1",7.47366,7.44746,7.26922,7.68034,7.80103,7.60429
"DNASE1L2",5.8942,5.97034,5.8545,6.03493,6.07929,6.51144
"DNASE1L3",4.8258,5.00294,4.82744,5.052,4.94529,5.41535
"DNASE2",8.39844,8.11223,8.23523,8.30363,8.40714,8.08729
"DNM1",5.28794,5.37071,5.3827,5.43482,5.61094,5.88254
"DNM1L",7.91962,8.12978,8.31146,7.62924,7.38331,7.94476
"DNM2",6.58105,6.65229,6.64302,6.99185,6.8834,6.74382
"DNM3",4.46294,4.4343,4.34009,4.03767,4.09231,4.1676
"DNMBP",7.30354,7.41976,7.1801,7.09042,7.22239,7.23383
"DNMT1",7.9609,8.05537,8.63391,8.32428,8.30392,8.14229
"DNMT3A",6.97927,7.06788,6.88207,6.69179,7.02088,6.45934
"DNPEP",9.75616,9.86046,9.87035,9.69639,9.58731,9.29251
"DNPH1",8.57948,9.00832,9.10951,8.77853,8.75531,8.71941
"DNTT",5.12079,5.02522,5.08397,5.45644,5.1752,5.62961
"DNTTIP2",10.8532,11.0525,11.0816,10.6602,10.4753,10.678
"DOC2A",5.30625,5.13533,5.16163,5.18244,5.53299,5.70049
"DOC2B",6.27118,6.4808,6.32033,6.41811,6.43779,6.20293
"DOCK1",7.10743,7.04711,7.34312,7.92734,8.31179,8.17569
"DOCK10",4.08419,3.99551,3.97365,4.15931,4.30424,4.21928
"DOCK2",6.72741,6.61096,6.74077,6.88106,6.76059,6.27929
"DOCK3",4.47382,4.41568,4.5258,4.59699,4.34148,4.49567
"DOCK4",4.79973,4.5685,4.49157,4.23432,4.61371,4.42345
"DOCK5",5.08701,4.95016,4.97721,5.34745,5.15768,4.88259
"DOCK9",5.64885,5.71507,5.7159,4.92049,4.81922,4.9555
"DOHH",6.24876,6.2342,6.14801,6.64108,6.43063,6.76948
"DOK1",6.08116,5.89237,5.94485,6.26095,6.19517,6.12049
"DOK2",4.75173,4.69731,4.59454,4.7591,4.84184,5.37171
"DOK4",6.0089,5.78343,5.80154,5.82813,5.74354,6.29419
"DOK5",4.69809,4.8223,4.61173,4.68082,4.56561,4.68212
"DOLK",7.24977,7.18706,7.34689,7.55781,7.57412,7.27075
"DOP1A",6.45164,6.43935,6.33833,6.1863,6.06959,6.39827
