,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_TamR1,MCF7_TamR2,MCF7_TamR3
KIF9,2.87774425,2.843983844,2.782408565,3.510961919,3.813524689,3.929790998
KIF9-AS1,0.731183242,0.464668267,0.495695163,0.443606651,0.411426246,0.298658316
KIFAP3,2.541019153,2.584962501,2.247927513,2.9800253,2.680324357,2.361768359
KIFC1,5.87282876,6.049630768,6.051807107,5.089159132,5.221490455,5.350497247
KIFC2,7.363521544,6.584661908,6.740792672,6.902676587,6.395919659,6.340562269
KIFC3,1.790772038,1.475084883,1.3950628,2.17951105,1.673556424,1.948600847
KIN,3.560714954,3.843983844,3.605257263,3.182692298,2.97819563,3.209453366
KIR2DL1,0,0,0,0,0,0
KIR2DL3,0,0,0,0,0,0
KIR2DL4,0,0,0,0,0,0
KIR2DP1,0,0,0,0,0,0
KIR2DS4,0,0,0,0,0,0
KIR3DL1,0,0,0,0,0,0
KIR3DL2,0,0,0,0,0,0
