"","MCF7_rep1","MCF7_rep2","MCF7_shCtrl_rep1","MCF7_shCtrl_rep2","TamR_rep1","TamR_rep2","TamR_rep3","TamR_rep4"
"RNF150",2.55878425547545,2.67742663210765,2.31161418665829,2.18475975461624,2.1466559473727,2.16257096353543,2.24912113050663,2.28150615352578
"RNF151",0.358663045541559,0,0.0854117320096367,0.184476142895448,0,0.0969936745882134,0,0
"RNF152",3.57448514244653,3.80722518699309,2.98037742022891,3.18840937235794,3.75698699765721,3.71917464873321,2.79070142116315,2.74225444373332
"RNF157",1.82380389135239,1.77926516512352,1.30086868594936,1.28228838909734,3.21286787189235,3.24552192141722,3.34600033846508,3.42710451955543
"RNF157-AS1",0.248726769600225,0.685382457380722,0.166048232672891,0.423320690739237,0.200433510174067,0,0.365988061065639,0
"RNF165",1.21232430500407,1.60995953676806,1.50065668290187,1.50663113161956,1.79044634739186,1.80880774555632,1.56030251270754,1.75331057526405
"RNF166",4.36236034787768,4.24912665900435,4.19545001897682,4.07235400356318,4.31676368239612,4.13919386749827,4.15546599032608,4.08656510222403
"RNF167",6.39354977214119,6.40288642146721,6.02460803049193,6.08257240805673,5.48842929980426,5.46551186252843,5.62339204499923,5.73251033244363
"RNF168",6.62430612544491,6.68135694158661,6.70652889242743,6.75409832779001,6.19693462840736,6.24729535331762,5.67730354940803,5.595697833126
"RNF169",6.52020636030937,6.55991520810359,6.26553378440779,6.23665568723862,6.33917085039741,6.24861543925141,5.52955738322411,5.4400428126597
"RNF17",0.129716953799761,0,0.0854117320096367,0.0951846650560229,0,0,0.100561918588521,0
"RNF170",3.70510603253652,3.82280897498765,3.56014236558109,3.71589106533361,5.34766965095044,5.29711295374524,5.71744499229929,5.67627677323538
"RNF175",0.129716953799761,0,0.166048232672891,0.0951846650560229,0.291091171894499,0.0969936745882134,0,0.18333227976665
"RNF180",2.5119617136455,2.74441994711302,2.49448668947117,2.38640594546563,3.26971053812672,3.23490443128758,3.0134117246044,3.17990338933262
"RNF181",5.71317971058116,5.77861244146592,5.76141034113844,5.74556122360213,5.70175486894135,5.64464630950224,5.27902844441728,5.26807865994163
"RNF182",0.809523302303716,0.991468976285963,0.740621462373367,0.690478926159452,1.18070190491648,1.17105510168516,1.28913792484186,1.31645834925951
"RNF183",0,0,0,0,0.605638939976352,0.638156515242526,0.954927999276457,0.686851168065641
"RNF185",4.62690139893451,4.62743181930795,4.70752942979525,4.71715489959769,5.02337584342922,4.90350291416792,5.18195307509617,5.10156123098779
"RNF186",0,0,0,0,0,0,0,0
"RNF187",6.76572790973542,6.77044335678318,6.27579079611117,6.28035126791145,7.50376031348785,7.52056634218436,7.38715774325255,7.41203414442994
