Hugo name,MCF7_1,MCF7_2,MCF7_3,MCF7_4,MCF7_13,MCF7_14,MCF7_15,MCF7_16
SOGA1,2.267934244,2.173626373,2.195820019,2.189210987,2.565853037,2.401496675,2.484903755,2.291774455
CNBD2,1.955097015,2.069286275,1.717973567,2.006477564,2.406123013,2.074474609,2.247155845,2.38381763
SPINT4,0,0.184080938,0,0,0,0,0,0
CDH22,0.016277653,0.018121663,0.051843711,0.04223276,0.038593366,0.062101536,0.060320121,0.014309097
LINC00266-1,0.39223608,0,0.413504182,0.479551354,1.041453272,0.290193177,0.540291177,0
LSM14B,4.912740869,4.925477296,5.06997707,5.049064381,4.773933048,4.916519638,4.639191638,4.745888066
YTHDF1,4.059606204,4.206400983,4.298541019,4.37501162,4.036696735,4.241100346,4.111598928,4.060886117
CABLES2,2.593203159,2.35139653,2.324868195,2.40229105,2.584144742,2.489951333,2.488615264,2.379005384
ORAOV1,4.445124131,4.277047435,4.543087516,4.3603713,4.250900955,4.259084133,4.42050935,4.253490134
GPHA2,0.089736637,0.18806031,0,0.2727148,0.337397118,0.166125394,0.314705805,0
SLC22A9,0.130529363,0.197924507,0.032417566,0.178548933,0.230203013,0.156599835,0.122552263,0.133182351
TRPT1,5.175436775,4.945935381,5.0767643,5.075417108,4.5548835,4.427854198,4.271619895,4.223885868
NUDT22,4.76200325,4.753609884,4.958434395,4.801003408,4.623521594,4.547622567,4.43177003,4.385838248
FERMT3,1.670029045,2.128765203,1.802904564,1.717929712,1.878168163,0.943904828,1.509214441,1.761727802
PLCB3,4.800289051,4.775466745,4.915860262,4.684773863,4.391568401,4.616816407,4.39620745,4.404433135
MRPL49,5.081211784,5.056362425,5.280236271,5.258047748,5.02731332,5.251416133,4.727484858,4.880881397
CDC42EP2,2.634753559,2.426812204,2.65311965,2.368623095,2.769750585,2.934539147,2.480034996,2.804772249
FAU,8.523636441,8.538898947,8.673697747,8.582085515,8.527289326,8.841485725,8.228794645,8.417401075
TM7SF2,5.979764714,5.961069942,6.10551885,5.984678206,5.482609535,5.404937173,5.342732511,5.302746751
VPS51,5.664940721,5.434658249,5.926035011,5.888894207,5.48440563,5.785715317,5.374556134,5.753882609
TBX6,1.982955254,2.120919218,2.212855671,1.798419698,1.482595338,1.305929676,1.407222209,1.453333197
PPP4C,6.639481082,6.613936765,6.816702094,6.794168897,6.542004163,6.713695815,6.31571113,6.437475781
ALDOA,9.311673397,9.281811825,9.503364638,9.554765341,9.553876921,9.813854927,9.429758218,9.559050081
FAM57B,0.907741342,0.957924254,1.045981085,0.978346482,1.288015937,1.197532036,1.163427884,1.120623996
DOC2A,4.683191142,4.620169963,4.470660501,4.402701715,4.90726084,4.578238323,4.985172508,4.762258445
HIRIP3,2.831767819,2.77592285,3.118392952,2.775090587,2.902108319,2.990542862,2.798260007,2.835503732
TAOK2,4.787813775,4.836949155,4.875888163,4.752732538,4.465648026,4.383400171,4.23511432,4.200786813
TMEM219,5.612343651,5.663819936,5.771095894,5.742677264,5.293366805,5.208642109,5.192257302,5.21298948
HMGA2,0.502006685,0.475870367,0.613025206,0.3962439,0.424846862,0.486763792,0.349427559,0.307909926
MMP3,0,0.034239525,0.142107548,0,0.03570878,0,0,0
CNKSR2,0.036651306,0.040685706,0.015867473,0.027709361,0.039402478,0.036384186,0.029363547,0.152580633
CNTN5,1.30924605,1.072044043,1.164432318,1.379948054,0.477729129,0.634466882,0.465687203,0.525108699
KLRF1,0,0.099844973,0,0,0,0,0,0
CLEC1A,0.609741726,0.861124037,0.709389459,0.733685797,0.972270627,0.254446501,0.627529332,0.433283176
MKX,0.151423735,0.290258066,0.39187218,0.115152996,0,0.124813805,0.23729204,0.25937012
MPP7,3.766828349,3.722159966,3.69113212,3.832120372,3.322435834,3.373479783,3.370609299,3.342159315
CCDC7,0.956003852,1.001744606,1.067576768,0.866162607,0.958055705,0.684727192,0.96632119,1.032277201
