"","VC_rep2","VC_rep1","VC_rep4","VC_rep3","E2s_rep4","E2s_rep1","E2s_rep2","E2s_rep3"
"ANKRD36",8.463217819,9.585291202,8.81131448,8.895026121,8.779965528,8.617605208,9.127252799,8.789126046
"ANKRD36B",9.323702195,9.723447638,9.399037544,9.326598016,9.467694697,9.330104573,9.459175436,9.483236366
"ANKRD36BP2",7.566624913,7.392532094,7.259978594,7.524737587,7.523267899,7.285980106,7.566054038,7.488040952
"ANKRD37",10.99252239,11.17530004,11.17379423,11.18897512,10.54179843,10.87014313,11.48782434,11.17215401
"ANKRD39",9.728005517,10.01410767,10.68575623,9.837529385,9.685022496,10.24037396,10.66816479,10.61506633
"ANKRD40",8.069785395,7.622966945,8.045077052,7.905086099,8.344462363,8.064641732,7.663824916,7.977065221
"ANKRD40CL",7.974486293,8.096253945,8.340406491,8.084276911,8.108785791,8.284014345,8.368615587,8.527477006
"ANKRD42",7.079751431,7.244958393,7.188650657,7.164781251,7.190318548,7.247334178,7.217594253,7.163523891
"ANKRD45",7.356562011,7.169173402,7.311294209,7.281466436,7.495755114,7.383272283,7.085339669,7.183511327
"ANKRD46",11.00454528,10.51509613,10.85293909,10.74821382,10.83459943,10.90927433,10.56392316,10.78617772
