"","MM134.24hr.Vehicle.A","MM134.24hr.Vehicle.B","MM134.24hr.Vehicle.C","MM134.24hr.Vehicle.D","MM134.24hr.E2.A","MM134.24hr.E2.B","MM134.24hr.E2.C","MM134.24hr.E2.D","SUM44.24hr.Vehicle.A","SUM44.24hr.Vehicle.B","SUM44.24hr.Vehicle.C","SUM44.24hr.Vehicle.D","SUM44.24hr.E2.A","SUM44.24hr.E2.B","SUM44.24hr.E2.C","SUM44.24hr.E2.D"
"STIL",9.334166613,9.209989253,9.372535789,9.313705888,9.685833633,9.859145339,9.676997364,9.694903197,7.617715369,7.564839245,7.632634041,7.704333511,8.157655048,8.224903274,8.314002879,8.135103005
"STIM1",7.467561333,7.604719415,7.560952687,7.646156817,7.410132774,7.3450386,7.310764,7.318243954,8.031109993,8.000630379,7.942007813,8.112258761,7.729500545,7.751475897,7.656662778,7.731147648
"STIMATE",7.062724227,6.782922081,6.969283856,6.789996755,7.057441381,7.012154562,7.200272521,7.017540235,7.693484952,7.723183885,7.702107415,7.580018796,7.787266272,7.895163388,7.772647926,7.740522411
"STIP1",9.261833293,9.228353097,9.334551564,9.263416908,9.62995724,9.618217499,9.586044927,9.610030959,9.177847048,9.285432554,9.289819753,9.242939234,9.16838336,9.071003471,9.081824408,9.197471807
"STK10",7.394737181,7.362954539,7.230451868,7.348345638,7.593786297,7.574287867,7.627420905,7.513773563,7.408259179,7.271747534,7.286243851,7.274948237,7.36364037,7.250817054,7.290411241,7.172945096
"STK11",8.654938409,8.631956941,8.631425775,8.582778847,8.823417856,8.836534569,8.887484347,8.815255585,8.191300362,8.245676422,8.306432227,8.332527804,8.346849878,8.400849079,8.414578333,8.368970588
"STK16",8.165004873,8.30775757,8.126070719,8.124004988,8.048424425,8.057328235,8.051372721,7.997885126,8.717516849,8.717872657,8.790057232,8.814404479,8.624293277,8.583205644,8.4430635,8.525778577
"STK17A",7.120696036,6.861285368,7.087622708,7.013620137,7.465646561,7.583441735,7.413380912,7.359230187,10.19963296,10.2598522,10.01334221,10.18356191,10.81848337,10.82510164,10.80658673,10.76896552
"STK17B",7.538876263,7.42256649,7.268828744,7.28188075,7.352457795,7.481211809,7.572553606,7.409149412,7.065976954,7.093605425,7.093605425,7.093605425,7.227793383,7.071659789,6.969134973,6.629904624
"STK19",9.212318501,9.16783372,9.146366179,9.165574329,8.930808425,8.949020954,9.062861701,8.971298135,9.015557063,9.066878493,9.148771703,9.107688029,9.03442374,9.065683039,8.961577045,9.01494313
"STK24",11.68046681,11.65544266,11.78068235,11.7492819,11.74866377,11.67955923,11.67370515,11.7362412,11.08230226,11.06854802,11.16187531,11.06750051,11.51638447,11.45906823,11.48474376,11.44824542
"STK25",8.969670466,8.827367876,8.712054465,8.863433498,8.893011485,8.898533286,8.971829068,8.974455039,7.725386046,7.681428306,7.790924572,7.860845859,7.860994108,7.790134649,7.721027715,7.654046206
"STK26",7.982066322,7.815056882,7.868121475,8.01499806,8.464090428,8.606667356,8.41201373,8.433800625,10.46266741,10.37614722,10.40052908,10.30610559,10.66642047,10.64584294,10.66777119,10.53277426
"STK3",9.927295224,9.961858142,10.04885774,10.13281969,10.15040633,10.17560387,9.940125825,9.978236485,10.69619316,10.84810576,10.68957448,10.53660198,10.46105487,10.45322896,10.46285227,10.30573994
"STK32B",11.09982065,11.11134251,11.09161538,11.01588948,10.08682798,10.09936391,10.21465205,10.11587865,9.741796771,9.657810294,9.861689528,9.709922627,7.727231045,7.59362151,7.54792881,7.744406115
"STK38",10.44928832,10.36071065,10.35944472,10.34716602,10.59395823,10.60637287,10.62400893,10.60239177,10.23859534,10.15808816,10.16129303,10.30818656,10.2560787,10.26671073,10.33825625,10.26895766
"STK38L",9.642046031,9.558649718,9.578398692,9.637384226,9.389127598,9.421289898,9.446583886,9.530772125,10.17458012,10.16142074,10.13888999,10.07691431,9.931481561,9.940138931,9.985367603,9.905615219
"STK39",11.16206727,11.22873494,11.28935034,11.41156312,11.30809567,11.40344838,11.10480096,11.21128669,9.735820554,9.729692529,9.742950109,9.54440369,10.15821122,10.16784569,10.08368333,10.10350904
"STK4",6.411480541,6.361902627,6.361395598,6.406116165,6.342851257,6.41933863,6.354010491,6.534138964,7.20814653,6.936002693,6.854049582,6.995478587,7.015003815,6.805903323,6.825752898,6.539593268
"STMN1",10.70280298,10.59622057,10.61367308,10.6898978,11.08682662,11.17340173,11.09428432,11.10661427,8.824134258,8.794444639,8.747330383,8.83885167,9.133150272,9.230055758,9.184618961,9.158637224
"STMN2",4.617854636,4.737482,4.675321212,4.508290778,4.381946835,4.343697038,4.83860626,4.547201616,6.080760798,6.283982205,6.303907617,6.29621,5.458853803,5.301726915,5.408713781,5.574114585
"STMN3",7.809409229,7.831857655,7.51181526,7.571932109,7.846693674,7.974306296,8.014287959,7.858150691,5.08290758,4.969130605,5.043889112,5.007917002,5.165099175,5.156318043,5.07509419,5.066394241
"STMN4",5.471974478,5.649200045,5.777968164,5.625697822,5.731028449,5.538779106,5.714314707,5.837101619,5.5742848,5.70537478,5.748839697,5.449067595,5.5742848,5.642597678,5.683820062,5.720907756
"STN1",8.573958381,8.516563577,8.549078217,8.559606344,8.492836431,8.461852525,8.538844925,8.503043879,8.467641638,8.52550037,8.447347108,8.568870724,8.703896745,8.72049927,8.566196468,8.586143878
"STOM",10.25178279,10.30924437,10.32551158,10.30857115,9.969701921,10.09135956,9.938944583,9.895032236,9.633600629,9.763227954,9.771556562,9.686638581,9.230047786,9.246126571,9.23783316,9.214058783
"STOML1",8.061065634,8.086269725,7.976583039,7.879905931,7.823956359,7.837886197,7.946094898,7.959922663,8.191004466,8.159349888,8.214071526,8.16225318,8.09544011,8.024698558,8.024654362,8.0705665
"STOML2",10.07334955,10.13135194,10.09752174,10.14562269,10.2604675,10.32291693,10.28740815,10.22863663,9.106141436,9.162932893,9.153612302,9.130408696,9.159576358,9.140340261,9.062983692,9.101809271
"STON1",6.514358468,6.617326623,6.516080251,6.580771951,5.743396208,5.726950805,5.894774493,5.798288274,9.848854636,9.71758288,9.882138163,9.67926135,7.431630497,7.145108606,7.240920216,7.019833679
"STRA6",6.626353301,6.681859485,6.799910453,6.646107697,6.80768446,6.442100458,6.660539955,6.796352944,6.610136285,6.686106233,6.702014023,6.676585747,6.567094822,6.751821991,6.827182268,6.937395918
"STRADA",9.124898556,9.113390978,9.148360541,9.221093205,8.996807733,8.989990531,9.214802847,9.094126358,8.746441887,8.704150628,8.842114081,8.870302627,8.750616814,8.814792488,8.689774162,8.808928453
"STRAP",12.62159158,12.59224431,12.56002813,12.57008556,12.66520809,12.61550314,12.75412425,12.70192785,12.64008268,12.63321891,12.63302467,12.64173287,12.65559659,12.64385819,12.6621517,12.63752073
"STRN",8.244555304,8.164816792,8.211898984,8.173273321,8.288862301,8.365879443,8.346676592,8.155752277,7.867839834,7.688042085,7.793203835,7.914351979,7.277601784,7.304251752,7.503104993,7.326634886
"STRN3",10.45275363,10.3504845,10.45327986,10.49388443,10.3960207,10.57328665,10.30819074,10.43777876,10.5455106,10.45599667,10.44948386,10.44843384,10.34803202,10.41187128,10.43758877,10.36445134
"STRN4",7.607999542,7.498442866,7.435639918,7.504946788,7.634213969,7.600860212,7.648317903,7.623941178,7.098827593,7.012719574,7.186455381,7.224356313,7.042817078,7.202933778,7.082562308,7.103218627
"STS",8.184535175,8.270404806,8.181987548,8.20987342,8.329250337,8.500021985,8.368425105,8.290604585,11.09845299,11.02630007,11.03252283,11.06075761,10.43956692,10.52640563,10.44799951,10.38789519
"STT3A",9.865753152,9.844111005,9.85223916,9.725994852,10.10364609,10.13222167,10.14429995,10.1190957,10.70262068,10.78206337,10.81462897,10.83080507,11.04156744,11.01625718,10.98238202,11.04775664
"STUB1",10.46092271,10.48842361,10.41185847,10.42639733,10.67541705,10.53185183,10.68733636,10.63874679,10.34717209,10.31283196,10.3246641,10.41162124,10.51857291,10.48783167,10.42222408,10.42152376
"STUM",5.80272468,5.790600129,5.938980871,5.965059459,5.741222804,5.534286865,5.873051844,5.942031989,4.971464938,5.043370617,4.851329324,4.975781274,4.885957329,4.896690138,5.019117491,5.081352913
"STX10",9.363187739,9.455502552,9.347345949,9.403365576,9.389179647,9.228251596,9.317808092,9.269784301,8.078984556,8.122912427,8.132495162,8.20327438,8.121483189,8.141382498,8.071852793,8.040787701
"STX11",5.237311322,5.41911521,5.419635791,5.331949443,5.463553197,5.410793661,5.28758368,5.641557783,5.581556112,5.609569157,5.498399551,5.239904251,5.479067299,5.537593762,5.421897795,5.680039017
"STX12",10.45212315,10.40958208,10.39720931,10.33246399,10.03570003,10.05257084,10.04653634,10.00173167,10.44734848,10.44001318,10.45557444,10.39368968,10.30186948,10.28602662,10.2455233,10.27553394
"STX16",10.22104282,10.26752164,10.32726604,10.21197517,10.10528237,10.0614058,10.08716729,10.10406128,10.42645523,10.53153445,10.55141866,10.51664283,10.17476217,10.19766624,10.26079329,10.24437826
"STX17",7.964873444,7.891265345,7.915596153,7.935451651,7.942367776,7.939550749,7.924687362,7.973250866,8.189395521,8.142273862,8.275918745,8.168907685,8.110524074,8.128564955,8.164864551,8.106578134
"STX18",9.677782819,9.696984403,9.671322365,9.798863381,9.339780255,9.362946585,9.33119081,9.422866797,10.59099418,10.59595467,10.65159545,10.63000628,10.24964466,10.22678931,10.18435353,10.25302048
"STX1A",7.829784801,7.91813682,7.824651692,7.88214786,7.998780748,7.933488302,8.035748026,8.065178321,8.038144692,8.031372603,8.0267021,8.085520311,7.851926315,7.995542971,7.912852068,7.799015076
"STX2",8.885794167,8.93814359,9.016140286,8.908268156,9.516218789,9.475268211,9.538525421,9.406033167,8.392581107,8.402948286,8.553430828,8.555297041,8.405636793,8.480814547,8.469847744,8.524768037
"STX3",10.819495,10.82868726,10.74852408,10.86083071,10.66348726,10.67852901,10.67321765,10.65626107,9.457952155,9.389749885,9.419479366,9.354473481,9.354982632,9.37965854,9.255150588,9.207091098
"STX4",8.87365693,8.772074324,8.629983978,8.823035664,8.475601617,8.406896164,8.545630116,8.517548099,9.537729264,9.429126857,9.596241739,9.579387374,9.474500084,9.414454457,9.394396448,9.354889223
