,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
SETBP1,4.102,4.6146,4.4936,4.1655,5.2913,5.1978,5.0677,5.0192
SETD1A,6.8962,7.2389,7.2596,7.0805,7.0565,6.9838,7.109,7.213
SETD1B,9.4333,9.6101,9.3845,8.9269,9.6692,9.6456,9.6123,9.5551
SETD2,8.3264,8.2346,7.4098,7.5456,7.5653,7.9821,7.5974,7.8222
SETD3,9.0578,9.0187,9.174,9.1174,8.7778,8.8332,8.6821,8.5747
SETD4,6.9169,6.6843,6.9025,6.8669,5.3033,5.4819,5.8512,5.7904
SETD5,6.5923,7.9098,8.7826,9.0228,9.1267,9.0482,9.4412,8.8998
SETD6,5.3638,5.0247,6.0087,5.5948,6.9445,6.7729,7.0561,7.2034
SETDB1,7.285,7.4684,7.514,7.346,7.0349,6.7354,6.7089,6.4561
SETMAR,6.5201,6.1619,6.2957,6.1622,6.5502,6.6274,6.5252,6.9106
SETX,7.9127,7.6255,7.3862,7.9258,8.3697,8.6289,8.9799,8.4816
SEZ6L,5.4921,4.9749,5.14,5.5197,4.9838,4.9221,5.0047,4.8833
SEZ6L2,7.1944,7.0982,7.5357,7.1372,5.5435,6.0147,5.4783,5.6039
SF1,9.1867,8.7965,9.2513,9.2556,9.2181,9.2298,9.4757,8.978
SF3A1,8.9362,8.5117,9.0197,8.7496,8.4699,8.5417,8.595,8.7171
SF3A2,6.507,6.7084,5.9302,6.0302,6.3469,6.123,5.8945,5.8709
SF3A3,7.6674,7.1343,8.1287,7.9621,7.5808,7.3477,7.2367,7.3162
SF3B1,11.0953,10.9157,10.2055,10.7254,11.2776,11.3405,11.3036,11.28
SF3B2,10.054,9.8858,10.18,10.0171,9.6454,9.5351,9.5142,9.5421
SF3B3,9.5258,9.5345,10.0151,9.7426,9.2706,9.0279,9.6322,9.3389
SF3B4,9.2334,9.618,9.8958,9.5972,8.4434,8.4948,8.188,8.3988
SF3B5,10.1389,9.8476,10.5435,10.2927,9.2368,9.2262,9.2957,9.271
SFI1,6.1238,6.5005,7.0013,6.7211,6.6339,6.4286,6.5914,6.6339
SFMBT1,6.7241,6.0651,7.2044,7.1043,6.2106,6.484,6.3866,6.3864
SFN,11.3048,11.4251,11.7819,11.645,9.7328,9.6908,9.5568,9.5566
SFPQ,9.9828,9.6903,9.9941,10.0026,10.0111,10.1189,10.2054,10.1704
SFRP1,3.9756,4.2438,3.9733,4.1092,4.237,3.9647,3.9268,3.9864
SFRP4,4.4307,4.6608,4.0604,3.8324,3.9379,3.9836,4.2009,4.0282
SFRP5,5.5871,5.7883,5.8507,5.6186,5.9021,5.6025,5.9329,5.9303
SFSWAP,6.9854,7.2851,8.0542,8.0532,7.9593,7.9083,8.3304,8.0795
SFT2D2,6.5677,5.6765,6.3688,6.1388,5.8741,5.7694,5.7271,6.1534
SFTPB,6.5787,6.7122,5.7874,6.2387,5.88,5.9696,6.0315,5.7367
SFTPC,6.8379,6.8796,6.3762,6.3877,6.7665,6.2503,6.5043,6.6809
SFTPD,4.2095,4.7545,4.2725,4.1501,4.3319,4.0983,4.1384,4.0643
SFXN1,6.927,6.7051,7.8005,7.6313,8.1052,7.9396,7.9589,8.0894
SFXN3,6.6835,6.8005,7.2489,6.6783,6.3562,6.3188,6.2089,6.3126
SGCA,3.8575,4.2766,3.9726,3.928,4.13,3.8741,3.8616,3.7845
SGCB,5.8887,5.1943,6.0374,6.0891,5.1502,5.2036,4.8091,5.451
SGCD,4.4256,4.7347,4.1586,4.6583,4.1392,4.4242,4.4169,4.3432
SGCE,7.7969,7.4274,7.4792,7.637,5.3016,5.3619,5.4692,5.7237
SGCG,4.0234,3.8391,3.7079,3.8755,3.5031,3.6697,3.6875,3.7664
SGF29,7.1675,7.0451,7.8387,7.7438,7.8392,7.8006,7.888,8.0046
SGK1,5.0074,5.0872,4.9521,5.0153,5.3428,5.5099,5.4577,5.9503
SGK2,5.6605,5.1998,5.2712,5.431,5.1572,5.3989,5.4262,5.195
SGMS1,7.8377,7.3195,6.8166,6.998,7.3236,7.8084,7.4539,7.6807
SGPL1,8.7046,8.2107,8.58,8.2663,9.6619,9.5993,9.4515,9.5705
SGPP1,7.8811,7.191,7.8261,8.1243,6.0896,6.0051,5.8083,6.1659
SGSH,7.3394,8.5795,8.741,8.4418,7.8304,7.8332,7.5432,7.2818
SGSM2,10.2354,10.4691,10.0202,9.9354,9.7386,9.7195,9.7811,9.7163
SGSM3,7.7345,7.6039,8.0571,7.6116,8.0201,7.9602,7.8915,7.8535
SGTA,6.5187,6.6509,7.7005,7.4682,7.3951,7.2495,7.2229,7.2825
SH2B1,7.3417,7.088,7.3206,7.088,7.1475,7.0053,7.0779,7.1985
SH2B2,5.2564,5.5634,5.7229,5.9239,6.1402,6.3475,6.2934,6.3676
SH2B3,4.3888,4.2067,4.6278,4.5001,3.9143,3.9841,4.3484,3.7265
SH2D1A,4.7264,5.2086,4.6243,4.7311,4.611,4.5988,4.7512,4.5401
SH2D2A,5.2628,4.9028,4.8775,4.9081,4.3355,4.573,4.9828,4.4845
SH2D3A,5.1495,5.1075,5.5344,5.3402,5.4806,5.5344,5.6943,5.5887
SH2D3C,3.9077,3.9478,3.7824,3.9581,3.9314,3.6684,4.0986,3.6243
SH2D4A,6.8561,6.704,6.665,6.5223,6.9474,7.0651,7.064,7.1422
SH3BGR,7.4735,6.9093,7.19,6.9979,5.4486,5.7895,5.7433,5.9793
SH3BGRL,9.7008,9.4923,9.111,8.8352,9.7404,9.9791,9.8276,9.866
SH3BGRL3,7.4261,7.5889,8.1713,7.8508,8.5872,8.6857,7.9845,8.3567
SH3BP1,7.0522,7.0249,6.9044,7.1279,7.125,6.8911,7.0343,6.9991
SH3BP2,6.077,6.4364,6.3042,6.0141,6.4853,6.3352,6.5377,6.2651
SH3BP4,9.3863,9.3458,8.1992,7.9653,9.79,9.77,9.5074,9.4438
SH3BP5,8.328,8.1389,7.8676,7.8568,8.5496,8.5852,8.5125,8.7036
SH3D21,5.8252,5.8513,5.6075,5.8101,5.9092,5.7137,5.7024,5.7454
SH3GL1,7.8095,7.9855,8.4909,8.1832,8.1615,7.9794,7.8105,7.678
SH3GL2,3.6129,3.519,3.2758,3.2519,3.3068,3.3072,3.2103,3.2467
SH3GL3,4.4267,4.4922,4.1466,4.4284,4.2454,4.207,4.5105,4.0213
SH3GLB1,9.2203,8.5744,9.0272,8.8502,9.3948,9.5524,9.1837,9.1865
SH3GLB2,4.3319,5.3054,7.6584,6.7186,8.089,7.7531,7.5588,8.0019
SH3PXD2A,4.1672,4.2347,4.0535,4.1729,4.1345,4.2757,3.7748,3.9261
SH3TC1,5.1642,5.1982,4.4358,4.4897,4.7279,4.387,4.4408,4.4909
SH3TC2,4.1607,4.2039,3.7004,3.827,3.5481,3.8344,3.814,3.7684
SH3YL1,10.1903,9.9842,9.8889,9.993,10.874,11.0709,10.9815,11.0937
SHANK1,4.4455,4.8428,4.4663,4.4455,4.438,4.342,4.3634,4.52
SHANK2,9.6637,9.1055,8.6949,8.6155,9.5638,9.7935,10.1306,10.139
SHARPIN,6.185,7.4554,8.3658,7.689,8.1991,7.9809,7.7877,7.9188
SHB,6.7106,6.8161,6.4596,6.4199,6.9298,7.269,6.8308,6.9028
SHBG,5.7272,5.3042,5.1222,5.1721,5.2531,5.3001,4.9384,4.7046
SHC1,10.8777,10.3033,10.7739,10.6134,9.7769,9.7518,9.5404,9.6014
SHC2,6.4099,6.8186,6.2377,6.1086,7.6352,7.6875,7.1673,7.3782
SHC3,4.6598,4.7438,4.6153,4.7569,4.8189,4.6077,4.7152,4.871
SHCBP1,5.904,5.5503,6.7476,6.9449,5.6512,5.8509,5.6846,5.9531
SHCBP1L,4.4453,4.5173,4.7716,4.5215,4.9778,4.6471,4.3498,4.7832
SHFL,6.1327,5.8742,5.6722,5.9513,7.5238,7.3672,6.9637,7.1263
SHH,4.7695,4.8592,4.1165,4.2855,4.244,4.2181,4.0665,4.1712
SHISA6,3.5637,3.6867,3.6066,3.5682,3.6851,3.5937,3.6098,3.5437
SHISAL1,6.0998,6.0667,5.885,5.9115,5.9595,5.8832,5.885,5.9272
SHLD2,9.4983,9.6672,9.441,9.7019,9.7234,9.8085,9.7535,10.0873
SHMT1,3.9727,3.8108,3.8783,3.7683,3.954,3.8592,3.7974,3.8891
SHMT2,10.2033,9.9631,11.731,11.3132,10.1979,10.073,10.1121,10.1993
SHOC2,8.4035,8.5347,8.7594,9.1279,8.1969,8.3664,8.6543,8.6398
SHOX,3.9093,4.1149,3.7543,3.7882,3.6888,3.7519,3.665,3.7202
SHOX2,5.0284,5.275,4.3997,4.648,4.5361,4.9435,4.6749,4.7873
SHPK,6.3292,6.2627,6.7866,6.554,6.1923,6.1593,5.9905,6.0095
SHQ1,8.3644,7.9031,8.6086,8.4547,7.4316,7.4549,7.4311,7.5352
SHROOM2,7.4817,7.173,7.1614,6.5663,8.0783,8.249,8.0349,7.8743
SHTN1,9.3977,9.5078,8.3487,8.5232,8.4579,8.5533,8.4624,8.5447
SI,3.1633,3.1863,3.1988,3.1562,3.0648,3.1486,3.0953,3.0919
SIAH1,7.8146,7.3017,7.9908,7.7313,9.5318,9.8713,9.6064,9.8232
SIAH2,8.4095,7.7474,9.4384,9.371,8.2853,8.2438,9.8332,9.5939
SIDT1,8.5995,7.753,8.3259,7.8722,8.9119,8.7844,8.6281,8.5255
SIDT2,9.5247,9.5071,9.4836,9.1253,9.1097,9.1944,9.0958,9.0844
SIGIRR,7.3228,7.4017,7.9683,7.7401,7.9566,7.8489,7.3624,7.7198
SIGLEC1,4.9332,4.9387,4.7443,4.8485,4.5733,4.6594,4.8708,4.5294
SIGLEC15,4.9488,4.9647,5.0585,5.0385,5.0085,5.429,5.6322,5.2696
SIGLEC5,4.7866,5.3462,4.4563,4.556,4.6038,4.6914,4.5289,4.13
SIGLEC6,4.5781,4.7006,4.3867,4.6679,4.4366,4.4583,4.629,4.3145
SIGLEC7,5.0654,5.5423,4.9831,5.2269,5.3038,5.0552,5.1296,4.9707
SIGLEC8,4.0979,4.3357,4.3109,4.509,4.5567,4.4041,4.6058,4.5616
SIGLEC9,4.6197,4.9749,4.4388,4.591,4.6386,4.3426,4.5584,4.4166
SIGMAR1,7.925,7.5625,8.8261,8.5277,6.6587,6.7469,6.3069,6.1948
SIK2,7.5466,7.5198,7.5372,7.2852,7.2896,7.4843,7.2188,7.1138
SIK3,7.1552,7.1682,7.0738,7.0039,7.2042,6.7545,6.9467,6.8685
SIKE1,4.1608,4.2798,4.1229,4.6984,4.7198,4.833,5.1758,4.8618
SIL1,6.4742,7.3353,8.1301,7.7266,6.8731,6.8697,6.7372,6.8774
SIM1,3.8148,3.9435,3.5672,3.8239,3.8337,3.7519,3.7512,3.6946
SIM2,5.3962,4.9966,5.2736,5.3136,7.2111,7.1443,7.5612,6.9087
SIN3B,6.7421,6.7048,6.4133,6.6139,6.3361,6.4953,6.5018,6.5753
SINHCAF,8.3144,7.8595,8.0551,7.8968,8.7399,8.8609,8.9917,9.0497
SIPA1,6.017,6.589,5.9781,5.6051,5.0835,5.0177,5.1008,5.1037
SIPA1L1,6.2394,6.1846,6.9729,7.0154,6.5043,6.5452,6.5034,6.477
SIPA1L3,7.9799,7.6532,7.4694,7.372,7.6574,7.6317,7.5646,7.4503
SIRPA,5.5686,5.4046,5.664,5.3092,4.8682,4.7334,4.8146,4.6009
SIRPB1,5.4834,5.0921,5.3076,5.2787,5.2671,5.3068,5.3997,5.1699
SIRPG,4.3847,4.5476,3.7118,3.8663,3.7308,3.7556,3.7648,3.7281
SIRT1,7.3454,7.0725,7.0048,7.0082,7.6007,7.9533,7.6789,7.6047
SIRT2,7.5173,7.8549,7.9733,7.8322,8.2717,8.1777,7.951,8.12
SIRT3,7.8427,7.95,8.1293,8.0324,7.7958,7.8997,7.9305,7.6585
SIRT4,5.5573,5.2963,4.6403,4.6675,5.5752,5.0202,4.8695,4.9801
SIRT5,6.5846,6.1804,6.7132,6.1427,7.1355,6.9651,6.7769,6.6647
SIRT6,6.2489,5.9963,6.2269,6.168,6.0067,6.0338,6.3956,6.0472
SIRT7,7.6558,7.8101,8.3533,8.1002,8.7785,8.7974,8.7244,8.7709
SIT1,4.8097,4.9507,4.6214,4.8858,4.6992,4.5554,4.7052,4.4711
SIVA1,8.2741,7.9739,9.4147,9.0342,8.7779,8.8371,8.2732,8.661
SIX1,6.0898,5.8515,5.5731,5.8713,6.6154,6.6641,6.5171,6.6357
SIX2,5.1218,5.1978,5.3204,5.1837,4.8967,4.7152,4.8951,4.853
SIX3,4.8697,4.1076,4.7139,4.2098,3.9378,4.1113,4.0762,3.9021
SIX5,4.9109,5.3217,4.3812,4.8638,4.8911,4.5439,4.7406,5.3022
SIX6,4.3699,4.2675,4.1115,4.1208,4.2491,3.9924,3.9883,4.3132
SKA1,5.1088,4.2172,5.882,5.4828,5.3759,5.7768,5.3828,5.9769
SKAP1,6.5549,5.7505,6.1992,5.908,4.9147,4.9389,5.0237,4.9603
SKAP2,7.5757,7.3414,6.7644,7.3379,6.2872,7.0501,6.4358,6.0313
SKI,5.7564,6.0447,6.0095,6.2427,6.0624,5.9587,6.1,6.086
SKIL,6.4566,5.771,5.3775,5.1939,5.1644,5.0122,4.7067,4.744
SKIV2L,6.775,7.3671,8.6073,8.2512,7.7061,7.4381,7.8767,7.4889
SKP1,12.5086,12.5862,12.2371,12.3254,12.3783,12.3812,12.3747,12.3678
SKP2,8.8406,8.8277,8.9291,9.0638,8.3868,8.4928,8.7777,8.6819
SLA,5.7764,5.6415,4.9868,5.3093,4.6651,4.9955,5.2163,4.7664
SLAMF1,4.0248,4.1559,3.8726,3.9103,3.9364,3.8458,3.7935,3.7701
SLAMF7,3.8295,3.6352,3.5705,3.8849,3.669,3.9174,3.8178,3.5634
SLAMF8,4.6027,4.9584,4.529,4.5795,4.3509,4.5323,4.4651,4.1598
SLBP,10.3675,9.7966,10.3801,10.4949,9.7853,9.8564,9.9534,10.1058
SLC10A1,4.3354,4.4036,4.1738,4.1635,4.1125,4.0125,4.1581,3.7892
SLC10A2,4.1393,3.7627,3.753,3.7922,3.7348,3.8317,3.9419,3.7855
SLC10A3,7.4101,7.2152,8.0064,8.0553,7.4728,7.6045,7.6594,7.8944
SLC11A1,6.6692,6.638,6.7446,7.0434,6.8779,6.8685,6.7093,6.4368
SLC11A2,9.4907,9.2424,8.5558,8.5759,7.2779,7.3827,7.3096,7.5106
SLC12A1,3.2689,3.29,3.4449,3.2462,3.2341,3.2837,3.2363,3.2255
SLC12A2,7.188,6.4974,6.0314,6.1289,9.7092,9.7637,9.0458,8.9692
SLC12A3,5.2778,5.3769,5.0233,5.2314,5.2592,5.0323,4.9177,4.8127
SLC12A4,6.4766,6.5119,7.5946,7.4345,6.5138,6.4814,6.4844,6.3717
SLC12A5,4.5398,4.5751,3.7371,3.6362,3.6474,4.067,3.7476,3.5019
SLC12A6,5.1526,4.8737,4.3004,4.1176,4.2661,4.1731,4.2571,4.197
SLC12A7,7.7346,8.1645,8.3671,8.4899,9.2963,9.2324,9.3147,8.7807
SLC12A8,6.3214,5.8859,6.0531,5.9767,6.216,6.1649,5.8001,6.0081
SLC12A9,6.8055,7.2251,7.2506,6.9583,7.3816,7.2951,7.483,7.5613
SLC13A1,3.1676,3.3505,3.2249,3.2638,3.2282,3.1255,3.2963,3.1476
SLC13A2,5.2602,5.0308,4.935,5.0131,4.8378,4.6881,4.9191,4.7223
SLC13A3,6.0973,6.2749,5.7715,6.0512,6.1581,5.9887,6.0432,6.0479
SLC13A4,5.2882,5.1186,4.778,4.7104,4.8638,4.7869,4.806,4.7975
SLC14A1,3.1181,3.1034,3.1387,3.0457,3.0375,3.0026,3.1387,2.9654
SLC14A2,4.2751,4.757,4.0424,3.9425,3.9997,4.362,3.9621,3.677
SLC15A1,3.8042,3.7586,3.8956,3.817,4.0239,3.8205,3.8799,3.8329
SLC15A2,3.847,3.9324,4.0551,4.2301,5.3047,5.2202,5.7422,5.4343
SLC15A3,5.8982,6.1911,6.5758,6.037,5.5343,5.4875,5.4971,5.2274
SLC16A1,5.248,5.1639,5.606,5.3655,4.2829,4.2813,4.4096,4.4832
SLC16A10,3.3757,3.2933,3.3935,3.4638,3.3564,3.1562,3.34,3.3297
SLC16A2,5.1866,4.9603,4.5492,4.5446,7.045,7.1369,6.4711,6.2866
SLC16A4,3.9087,4.0266,3.4508,3.4869,3.323,3.327,3.4402,3.4094
SLC16A5,7.2959,7.1625,6.9832,6.6024,8.583,8.478,7.5549,7.9045
SLC16A6,4.1495,3.8813,5.5152,5.0029,5.2077,5.268,5.3776,5.6638
SLC16A7,3.5753,3.6416,3.69,3.6955,3.5049,3.4239,3.532,3.4313
SLC16A8,4.9675,5.3658,5.3011,5.1779,4.93,4.5646,4.9552,5.0228
SLC17A1,4.6876,4.8088,4.393,4.4426,4.3754,4.4212,4.192,4.3851
SLC17A2,3.8019,3.5759,3.3057,3.472,3.4201,3.5133,3.4704,3.4216
SLC17A3,4.4698,4.6949,3.7871,3.8597,3.7332,3.7332,3.7278,3.6425
SLC17A4,4.4805,4.2635,4.076,4.4298,4.0789,4.1821,4.0857,3.8356
SLC17A5,4.5061,4.6918,5.4712,5.2267,7.2561,7.2419,6.8003,6.8126
SLC17A6,3.4397,3.6419,3.6047,3.4502,3.5893,3.4999,3.4416,3.2331
SLC17A7,5.4705,5.1835,5.1896,5.2567,5.1463,5.1676,5.167,5.0004
SLC17A9,5.7498,6.2127,5.0307,5.1557,4.9118,5.0913,5.1803,5.044
SLC18A1,3.9502,3.7818,3.6878,3.6681,3.6504,3.5427,3.7685,3.6932
SLC18A2,3.6045,3.4321,3.5151,3.5358,3.452,3.3701,3.6218,3.6415
SLC18A3,4.6146,4.6749,4.744,4.638,5.0404,4.7445,4.6067,4.9211
SLC19A1,6.169,6.4298,8.1898,7.6593,7.6372,7.6026,7.9309,7.9716
SLC19A2,7.9022,7.3916,7.4091,7.2491,8.522,8.884,9.3656,9.5258
SLC19A3,3.9946,3.6192,3.5451,3.6165,3.5192,3.4601,3.4764,3.5574
SLC1A1,5.055,5.1539,5.8716,4.995,5.9396,5.964,6.2091,6.637
SLC1A2,4.3547,4.2996,4.0829,4.4889,4.2157,4.2682,4.1638,4.5205
SLC1A3,4.8298,4.9132,4.6293,4.774,4.6111,4.4941,4.8364,4.4871
SLC1A4,8.5739,8.5259,9.5613,9.2892,9.1925,9.1483,9.6769,9.4153
SLC1A5,7.3539,8.1682,9.5892,9.3449,8.6502,8.484,8.8245,8.6059
SLC1A6,5.8088,5.8844,5.8164,5.6764,5.7606,5.7504,5.6716,5.774
SLC1A7,5.4167,5.2903,5.1228,5.0982,5.177,4.8577,4.9855,5.1774
SLC20A1,9.5581,9.2176,9.6646,9.6116,9.6086,9.6863,9.7863,9.8244
SLC20A2,5.9688,5.8816,6.5548,6.4978,6.2414,6.1593,6.2881,6.2953
SLC22A1,4.4267,4.2692,4.1396,3.9889,4.3033,4.0525,4.3088,4.0927
SLC22A11,5.3498,5.5028,3.8109,3.9673,4.1434,3.9214,3.9298,3.9997
SLC22A13,4.2487,4.2371,3.9732,4.1261,4.2183,3.9683,4.0364,4.0763
SLC22A14,6.6838,6.3341,6.486,6.4819,6.1593,6.4204,6.4765,6.2221
SLC22A17,5.1212,4.9127,5.2773,5.0162,5.5919,5.5044,5.4434,5.5649
SLC22A18,7.6327,7.5596,7.6245,7.016,7.2694,7.1454,6.7389,6.9602
SLC22A18AS,6.1094,6.6816,6.2067,6.5114,5.8912,6.2017,6.2902,6.0104
SLC22A2,4.1794,3.893,3.9119,3.913,4.3398,3.8847,3.9399,3.799
SLC22A3,3.1764,3.2345,3.4118,3.201,3.1815,3.2014,3.2161,3.1382
SLC22A4,4.8327,4.5682,5.1687,4.7979,4.1104,4.0879,4.3243,4.6796
SLC22A5,7.4855,7.077,7.4897,7.2822,5.5719,5.8945,7.0294,6.7893
SLC22A6,5.4877,5.0133,5.111,4.9995,4.9898,5.126,4.9973,5.3678
SLC22A7,4.9187,5.1667,5.764,5.4952,5.2077,5.2775,5.2775,5.2775
SLC22A8,4.4219,4.5308,4.2016,4.6241,4.3318,4.3035,4.1037,4.2618
SLC23A2,6.3011,6.1512,6.6994,6.6601,6.737,6.6465,6.6552,6.5837
SLC24A1,7.8746,7.2234,6.9999,6.9598,5.9154,5.7543,6.0487,5.7208
SLC24A2,4.5012,4.8656,4.1909,4.4711,3.8906,4.1424,4.297,4.2558
SLC24A3,9.2354,9.1046,8.6201,8.4488,7.9992,7.8626,8.9045,8.5983
SLC25A1,6.9274,8.5193,9.6494,9.2503,9.3517,9.3614,8.8188,8.9963
SLC25A10,6.3608,6.9906,7.8424,7.4583,7.8532,7.8961,7.9046,8.2555
SLC25A11,6.689,6.8657,8.6478,8.1074,9.0214,8.7036,8.3982,8.7634
SLC25A12,6.243,6.054,6.899,6.75,6.0803,6.0676,6.675,6.4364
SLC25A13,8.3704,8.2401,8.3694,8.1746,8.3077,8.4261,8.0791,8.2555
SLC25A14,8.4261,7.9481,7.6821,7.6731,7.4262,7.5108,7.5469,7.5507
SLC25A15,6.5894,6.1587,7.8314,7.7544,7.9522,7.7085,7.9967,8.0709
SLC25A16,8.8226,8.4483,7.6798,7.9801,9.2836,9.1693,8.5824,9.2237
SLC25A17,6.3621,6.037,7.4633,6.9133,7.3393,7.1669,7.2619,7.3818
SLC25A20,8.2881,7.6757,8.7398,8.5003,6.3028,6.4939,5.9812,5.967
SLC25A21,3.0258,3.1041,3.3931,3.1438,3.323,3.3639,3.5691,3.3184
SLC25A22,6.2441,6.2011,6.3017,6.1728,6.2947,6.1459,6.0969,6.2637
SLC25A23,5.1431,4.877,5.22,4.9928,5.2866,5.1097,5.1212,5.0651
SLC25A24,8.2805,8.4222,7.9366,8.4784,9.3298,9.5189,9.3347,9.5226
SLC25A28,6.37,6.9718,8.3515,8.1672,7.4157,7.4357,7.5379,7.7475
SLC25A3,12.8594,12.551,12.8784,12.7782,11.1772,11.1128,11.1195,11.0402
SLC25A31,3.1731,3.102,3.0435,2.9774,3.0855,2.9959,3.0518,3.1759
SLC25A32,8.2908,7.7883,8.0661,8.2862,7.3329,7.7485,7.6152,7.8915
SLC25A36,9.0242,9.1729,9.1578,9.3483,10.1908,10.22,10.3601,10.4675
SLC25A37,5.2364,5.5524,6.2834,5.9617,5.723,5.7037,5.6636,5.4955
SLC25A38,8.3773,7.9844,8.7241,8.3769,8.3866,8.1932,8.0581,8.2078
SLC25A4,8.1303,7.8701,8.5539,8.3342,10.182,10.1251,10.069,10.0397
SLC25A40,5.037,5.5101,6.4359,6.2791,6.2409,6.2864,6.4584,6.4997
SLC25A42,4.6251,4.8535,3.8076,3.9756,3.6941,3.743,3.7874,3.8723
SLC25A44,9.7656,9.7307,9.5765,9.3943,9.6554,9.6723,9.3,9.6005
SLC25A46,9.6156,9.2556,9.2171,9.3629,8.1544,8.1697,8.0666,8.1845
SLC25A5,12.006,11.7575,12.4033,12.3773,12.0617,12.0153,12.0636,12.0844
SLC25A6,11.2861,10.8796,12.1258,11.8852,11.928,11.8384,11.9192,12.0862
SLC26A1,5.015,4.9648,4.7384,5.0276,4.8767,4.725,5.1825,4.9784
SLC26A10,4.4418,4.3231,4.2697,4.5712,4.5413,4.4177,4.3818,4.2031
SLC26A2,3.6054,3.5327,3.7217,3.6934,4.242,4.218,4.6916,4.5369
SLC26A3,3.7112,3.4698,3.5276,3.4186,3.5563,3.5237,3.266,3.3973
SLC26A4,3.426,3.4352,3.1897,3.3437,3.348,3.4221,3.3806,3.4485
SLC27A2,4.6354,4.9943,4.984,4.7999,7.1072,7.3565,7.6036,7.8347
SLC27A3,6.104,6.1945,6.2243,6.1135,8.4621,8.3192,8.1151,8.3119
SLC27A5,6.2867,5.9063,7.4612,7.104,5.129,5.314,5.155,5.2266
SLC27A6,3.7921,3.9482,3.4056,3.5899,3.9357,3.6244,3.5498,3.8081
SLC28A1,4.8007,4.5017,4.1919,4.7557,4.2604,4.215,4.499,4.4166
SLC28A2,4.8063,5.0212,4.2504,4.2727,4.154,4.2172,4.3661,4.2491
SLC28A3,4.4978,4.4697,4.4441,4.1747,4.2813,4.1865,4.3355,4.3068
SLC29A1,6.5085,6.8174,7.5969,7.2681,7.6925,7.4667,7.8691,7.9842
SLC29A2,7.2967,7.3496,8.0764,7.5718,7.7281,7.6234,7.4404,7.5685
SLC29A3,6.5136,6.6446,6.3468,6.1724,6.288,6.3164,6.528,6.3867
SLC2A1,6.456,6.5645,6.7101,6.1086,6.6608,6.8876,7.452,7.5656
SLC2A10,5.0715,4.9985,4.9961,4.2382,10.8466,10.8992,10.5001,10.3392
SLC2A11,4.6522,4.8256,5.2634,4.825,5.0713,5.0295,4.8349,4.8504
SLC2A2,3.3659,3.6411,3.4065,3.3636,3.4441,3.4784,3.3067,3.2927
SLC2A3,4.8376,4.8596,4.7802,4.9461,4.7802,4.7058,4.7802,4.7751
SLC2A4,3.8729,3.7616,3.9427,3.6787,3.8991,3.6827,3.8951,3.8097
SLC2A4RG,7.9216,8.6417,9.7114,9.2729,10.1217,10.0303,9.8767,9.9514
SLC2A5,4.8871,5.2724,5.0392,4.9601,4.7293,4.7381,4.7406,4.6458
SLC2A6,6.3758,6.4567,6.7341,6.7062,5.1406,5.4219,5.2168,5.2095
SLC2A8,6.406,6.9814,7.261,6.7197,8.0113,7.817,7.4054,7.8068
SLC2A9,4.982,4.8699,4.1738,4.4549,4.3381,4.2654,4.2664,4.2166
SLC30A1,8.6029,8.4895,8.8775,9.2999,7.9323,8.1647,8.236,8.2732
SLC30A10,3.6205,3.5778,3.4219,3.3217,3.3918,3.3953,3.2987,3.298
SLC30A3,6.7592,6.9024,6.8583,7.0365,6.7261,6.4043,6.9579,6.603
SLC30A4,3.8839,3.8481,3.7796,3.8968,3.5499,3.8097,3.7726,3.7701
SLC30A5,9.1018,8.6247,8.6598,8.6215,7.6721,7.4242,7.4252,7.6923
SLC30A6,4.1206,3.9515,3.695,3.7145,3.8537,3.5642,3.6796,3.8525
SLC30A9,8.5475,8.44,8.0035,8.3735,8.3077,8.4938,8.488,8.434
SLC31A1,8.1643,8.0761,8.6197,8.4906,8.0157,7.9257,7.7985,8.0638
SLC31A2,7.967,6.9953,7.5147,7.4081,5.1295,5.094,4.9449,4.5715
SLC33A1,7.7111,7.2942,7.0587,6.9777,6.6959,7.0168,6.8751,7.039
SLC34A1,5.0455,5.3118,4.3136,4.6167,4.523,4.4499,4.292,4.6891
SLC34A2,3.5093,3.5278,3.6146,3.4697,3.5261,3.4893,3.4146,3.3672
SLC35A1,10.6573,10.7089,9.4137,9.8343,10.1471,10.3328,10.1093,10.1836
SLC35A2,9.2354,8.8184,9.5032,9.3888,8.8572,8.7939,8.8651,8.8311
SLC35A3,7.6608,7.5693,7.3451,7.7565,8.3666,8.7054,8.4612,8.4381
SLC35A5,7.7462,7.2921,7.3587,7.4631,7.763,8.0049,7.7649,7.9194
SLC35B1,9.6806,9.4409,9.9869,9.8721,10.6662,10.6375,10.5697,10.5494
SLC35C1,5.9484,5.7798,6.1067,6.3012,6.0415,5.8324,5.5374,5.6759
SLC35C2,6.5704,6.9163,8.4029,7.8242,7.7882,7.5451,7.5885,7.5519
SLC35D1,6.2862,6.6794,6.27,7.0882,7.1135,7.2372,7.0762,7.1575
SLC35D2,5.7739,5.5461,5.8164,5.5446,6.0784,5.8141,5.7731,5.4574
SLC35E1,7.3312,7.3938,7.2238,7.8244,8.1802,8.246,8.2623,8.227
SLC35E3,9.0434,8.9672,9.049,8.8638,7.2529,7.2488,7.0462,7.4138
