,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
DDAH1,10.0729,9.7547,9.6807,9.8617,9.2697,9.4259,9.3934,9.3551
DDAH2,8.2581,8.3995,9.8184,9.3456,10.0089,9.7981,9.2832,9.5462
DDB1,10.5471,10.3468,10.782,10.5571,10.4913,10.5096,10.6971,10.4053
DDB2,8.2767,8.4132,9.0609,8.6611,6.8453,7.0818,6.5863,6.78
DDC,4.3994,4.4268,4.1823,4.395,4.438,4.4775,4.3841,4.2841
DDHD2,8.5343,8.3382,7.5475,7.7536,7.2807,7.5909,7.4234,7.3714
DDIT3,8.9007,8.6076,8.9539,8.7526,8.8836,8.9441,8.7882,8.7778
DDIT4,9.1826,9.1279,9.5977,8.255,9.459,9.6077,8.8734,8.9779
DDN,6.5431,6.9475,6.5704,6.6022,6.3213,6.3191,6.5315,6.2302
DDO,5.0367,4.9795,5.1076,5.2369,4.7279,4.9955,4.7591,5.0362
DDOST,9.4225,9.6934,11.0604,10.9071,10.9549,10.7963,10.7797,10.7472
DDR1-DT,5.692,5.6209,5.3875,5.4983,5.4137,5.4748,5.4794,5.2906
DDR2,5.87,6.1341,5.1576,5.3044,4.9491,5.0264,5.1894,4.7722
DDRGK1,8.2692,8.1785,9.1439,8.8995,9.3655,9.1323,8.9895,9.2417
DDX1,10.0015,9.6307,9.6084,9.9109,10.3529,10.2069,10.2977,10.2809
DDX10,8.5532,8.1364,8.4525,8.5462,6.7301,6.9792,7.0684,7.1813
DDX11,7.6057,7.8494,8.4005,8.3089,8.0066,7.9088,8.3392,8.084
DDX17,12.0169,12.0904,11.3178,11.5384,11.8304,11.8751,12.0077,11.8642
DDX18,8.1701,8.2097,8.7302,9.1377,9.0603,8.8963,9.3621,9.1932
DDX19A,7.9722,7.6225,8.2234,8.263,7.4476,7.5183,7.7131,7.6114
DDX21,9.3069,8.8742,9.6596,9.6733,8.2548,8.4647,9.1669,9.2836
DDX23,7.6408,7.8122,8.8949,8.4247,8.3077,8.171,8.3436,8.4049
DDX24,10.3775,10.0558,10.1422,10.032,9.7551,9.7683,9.755,9.7629
DDX25,5.045,4.4975,3.9313,3.9566,4.167,3.9103,3.996,3.8998
DDX27,9.486,9.2364,9.6526,9.5576,10.1398,9.9951,10.0836,10.1116
DDX28,7.3339,6.8662,7.6219,7.363,7.7251,7.6922,7.7709,7.8479
DDX31,7.9656,8.1055,8.2937,8.2236,7.5256,7.38,7.687,7.5811
DDX39A,8.9816,9.3478,11.1761,10.8216,10.4333,10.4364,10.3154,10.6088
DDX3X,11.0279,10.9282,10.5598,11.0323,10.9574,11.0331,11.2372,11.0138
DDX3Y,3.6755,3.6278,3.5913,3.5885,3.646,3.5155,3.5974,3.6287
DDX4,3.9216,3.9395,3.7391,3.9311,3.8554,3.8146,3.6228,3.7701
DDX41,8.1586,7.7789,9.0278,8.5579,9.1687,8.9595,9.1042,9.0901
DDX42,9.4662,9.3991,9.2194,9.3035,8.5158,8.4888,8.7962,8.803
DDX43,3.5796,3.6228,3.6138,3.5009,3.6051,3.581,3.5894,3.8193
DDX46,9.7998,9.6756,9.4766,10.0634,9.3345,9.5276,9.5769,9.5406
DDX49,8.0283,8.09,8.8312,8.6267,8.4099,8.2382,8.1769,8.3327
DDX50,7.5371,9.1098,9.892,9.9145,9.387,9.3796,9.587,9.3638
DDX51,5.5579,6.1195,6.1299,5.8283,5.7094,5.8075,5.7053,6.0198
DDX52,7.4014,6.8124,7.4085,7.3752,8.6816,8.878,8.5797,8.8854
DDX54,6.1282,6.0631,6.8606,6.6854,6.7526,6.4663,6.793,6.8363
DDX56,8.9116,8.5032,9.5111,9.3038,9.0867,8.8043,9.0314,9.1551
DDX58,4.8857,4.7362,4.7642,4.8409,4.265,4.6497,4.3648,4.4259
DDX6,4.7995,4.6852,4.116,4.2767,4.2154,4.0991,4.0541,4.0907
DDX60,4.0931,4.0328,3.9222,3.6587,4.2251,4.5271,4.4227,4.4508
DEAF1,5.7996,5.6178,6.28,5.6971,6.1676,6.0719,6.1357,5.8463
DECR1,10.0572,9.793,9.588,9.5761,9.3656,9.3672,9.3131,9.3724
DECR2,8.7348,8.3869,8.7809,8.4518,8.8912,8.6509,8.6731,8.9988
DEDD,9.5285,9.1059,9.0914,8.8236,9.0046,9.1505,8.6627,8.8352
DEF6,4.5703,4.4749,5.7185,5.7547,5.0534,4.8123,5.0298,4.8538
DEF8,7.5105,7.2197,7.8038,7.514,7.8894,7.7798,7.4264,7.6342
DEFA4,4.1394,4.1113,3.8814,4.0949,3.9735,4.0804,4.2529,4.0127
DEFA5,3.7546,3.8082,4.0073,4.1524,3.9617,3.8847,3.7727,3.8693
DEFA6,4.9673,5.0473,4.8207,4.9276,4.5242,4.6431,4.8514,4.6056
DEFB1,4.6369,4.6556,4.7379,4.773,4.8779,4.8563,5.0394,4.823
DEFB126,4.3643,4.4782,4.5536,4.4632,4.1034,4.0752,4.0583,3.9425
DEGS1,8.8159,8.8772,9.2771,8.8659,10.8639,10.8061,10.3556,10.4636
DEK,10.751,10.7823,10.4841,10.9457,10.0717,10.2385,10.4693,10.5299
DELE1,8.751,8.5931,8.5143,8.1958,7.9576,7.9533,7.8805,7.9374
DENND1A,7.0823,6.6137,7.3031,6.8093,7.4409,7.5385,7.0431,7.4064
DENND1B,5.331,5.3941,6.0022,6.4471,9.0204,9.4134,9.4837,9.1091
DENND1C,4.8606,5.0409,4.601,4.4634,4.6972,4.4177,4.66,4.313
DENND2A,4.6784,5.2585,4.4039,4.4118,4.0917,4.1504,4.2726,4.1883
DENND2D,8.9967,8.3374,8.4612,8.2502,6.8241,6.8648,6.7649,6.8312
DENND3,6.0204,6.8725,5.6437,5.7273,5.1859,4.9899,5.1354,4.9984
DENND4A,3.7569,3.6941,4.0064,4.0316,3.8473,3.8169,4.0471,3.9229
DENND4B,7.6922,7.8015,8.087,7.7013,8.261,8.449,8.5615,8.0692
DENND4C,5.1395,4.7951,4.7174,4.8466,4.1259,4.3891,4.0146,4.0252
DENND5A,7.8188,7.4674,7.7712,7.5894,8.126,8.1442,7.9986,7.8596
DENND5B,3.2064,3.2162,3.6224,3.3674,3.5615,3.5549,3.6031,3.3574
DENND6B,5.8454,6.3304,5.4943,5.7947,5.2015,5.5877,5.6389,5.7002
DENR,10.2881,10.3541,10.1861,10.3768,10.2066,10.3295,10.3912,10.6215
DEPDC1,4.8767,4.8279,6.3352,6.5604,5.568,5.6039,6.0227,5.9411
DEPDC5,5.1835,5.196,5.0591,5.1648,5.3352,5.421,5.4451,5.386
DEPP1,5.7839,5.5217,5.4632,5.5447,5.5096,5.53,5.5477,5.234
DEPTOR,7.7489,7.47,8.315,7.9892,8.0613,8.2236,10.1422,9.9984
DERA,9.5117,9.2236,9.7283,9.6696,7.963,8.3452,8.1858,8.4934
DERL1,9.2906,9.5819,10.4733,10.1848,10.0009,9.8054,9.6295,9.911
DERL2,9.6765,9.0817,9.6654,9.5947,8.6938,8.744,8.6613,8.791
DES,4.7344,5.1394,4.9237,4.8341,4.3807,4.5323,4.6292,4.8255
DESI1,6.7893,6.3167,7.0573,6.909,6.5903,6.5151,7.0554,6.6661
DESI2,8.8643,8.6398,8.6343,8.6951,8.9534,8.9558,8.9903,8.701
DET1,6.8959,6.9252,6.7658,6.1976,6.4364,6.2677,6.4199,6.3828
DEXI,6.872,6.674,7.3238,6.7786,6.7888,6.5713,6.6181,6.55
DFFA,6.8351,6.5714,7.5424,7.3208,7.5474,7.3772,7.4098,7.4446
DFFB,4.9174,4.7568,5.0125,4.6916,5.3427,5.5358,4.919,5.4073
DGAT1,6.2801,6.7741,7.6378,7.1179,7.2506,7.2034,6.8877,7.3014
DGCR11,4.5144,4.6165,4.7131,4.9866,4.7115,4.7744,5.0372,4.7804
DGCR2,8.3226,8.0019,8.1669,7.7465,8.2925,8.1033,8.2305,8.3576
DGCR5,4.3751,4.8078,4.4527,4.7065,4.8001,4.7521,4.8159,4.6279
DGCR6L,4.3006,4.5839,4.3619,4.138,4.5512,4.2243,4.4117,4.2866
DGCR9,5.5979,5.6204,5.6246,5.3348,5.4521,5.4615,5.4392,5.4048
DGKA,6.4973,6.8365,7.6444,7.1085,5.6011,5.6228,5.8079,5.5184
DGKB,3.3489,3.3149,3.3368,3.2444,3.5442,3.3076,3.2629,3.2677
DGKD,7.7192,7.6677,7.4531,6.7857,8.0217,7.9741,8.1493,7.8099
DGKE,3.669,3.6601,3.9244,3.7554,3.3434,3.541,3.498,3.5207
DGKG,4.0689,4.2875,3.898,3.87,3.7625,3.958,3.8206,3.8654
DGKH,4.9552,4.751,4.9677,5.0381,5.0592,5.1365,5.115,5.0833
DGKI,4.1145,3.9895,3.9769,3.7946,3.9273,3.8427,3.6613,3.6453
DGKQ,5.106,5.4907,4.78,5.038,4.6438,4.6483,4.8399,4.8746
DGKZ,6.6844,7.2181,8.9098,8.231,8.1686,7.9576,8.1613,8.0314
DGLUCY,8.4675,8.5264,8.6279,8.1769,9.2096,9.0154,9.0264,9.1066
DGUOK,8.9777,9.2166,9.0744,8.7601,9.4487,9.3823,9.2351,9.3818
DHCR24,11.8274,11.3643,11.4103,11.3487,11.23,11.3428,11.3409,11.1796
DHCR7,8.4668,8.9583,10.3482,9.9542,9.5568,9.55,9.6096,9.569
DHDDS,7.2289,7.1879,7.1561,7.1687,7.373,7.4289,7.2468,7.4091
