,IRJ43,IRJ44,IRJ45,IRJ49,IRJ50,IRJ51
OGFOD2,4.933381234,4.974218089,4.965344875,4.854173923,4.842556643,4.918361692
CKAP5,6.227034177,6.205385219,6.212295686,6.521490294,6.423669452,6.428811246
CXCL17,0.076541432,0,0.27948112,0.169729434,0.081705401,0
EIF2S1,6.583475598,6.518462066,6.589156551,6.809610807,6.746180567,6.762785893
SLC34A2,0.038180833,0,0.021870077,0,0.020573691,0
TIGD7,3.148558141,3.123414701,2.988327633,3.018302499,3.228271647,2.9732443
PANX3,0.148012676,0.307186716,0.550141383,0.580259862,0.470024083,0.26211229
EHMT2,5.031060221,5.10450579,5.128895264,5.259771957,5.229223958,5.202612375
OR1M1,0,0,0,0,0,0
NDST4,0.070626609,0.031449968,0.040007284,0.027380971,0.075401926,0.032989635
AC010441.1,2.857776692,2.782817213,2.961177337,2.941468413,2.783891845,2.817573199
IRX1,0,0,0.006423311,0,0,0
ACSM2A,0,0,0,0,0,0
MAOA,2.9823844,2.984950979,3.039027234,2.362131432,2.35043613,2.341735738
RBM24,0.618851946,0.728148378,0.60203439,2.01943057,2.155820443,2.42645864
TTC17,4.581497199,4.189863665,4.525021458,4.336067608,4.168014395,4.324473699
RNASET2,6.095405359,6.13037177,6.249871523,6.03968882,5.999601154,6.10902198
FAM107B,5.762340737,5.755825988,5.729867739,5.287089004,5.28452554,5.268372278
ATMIN,5.697632664,5.723788102,5.763246597,5.339269954,5.285696339,5.352085097
TARSL2,2.182174198,2.202881813,2.231946035,1.904513362,1.990687664,1.941922488
CTSB,7.082065482,7.151686636,7.21026056,6.928113143,6.954000907,6.902193478
RARRES3,1.053259676,1.093230505,0.724892658,0.453694615,0.301361892,0.342932928
UBE2O,4.499434612,4.777592034,4.568173405,4.644549578,4.448859336,4.628029032
SIRT7,5.162455161,5.043658278,5.186503563,5.085061232,5.04097763,5.038370162
SLC12A9,5.442475784,5.365379782,5.419114998,5.153167058,5.187960878,5.077069846
TMEM184A,4.98013114,5.127826323,5.278049874,4.71123462,4.434114463,4.452381997
NHS,2.115768503,1.948032402,2.05506059,1.453149856,1.494536437,1.46705413
FAM20A,0.030676643,0.044576424,0.075352534,0,0.057865071,0
C15orf65,1.328197174,1.133960126,1.54563801,1.182293259,1.054609825,1.417748189
PSAP,8.161915507,8.237154715,8.260130623,7.904050303,7.882191941,7.938522147
VPS29,6.33514539,6.256383953,6.355648352,6.432700072,6.662016005,6.554426515
