hugo,MWV1,MWV2,MWV3,MWE1,MWE2,MWE3
MTMR11,4.212558056,4.187802183,4.277984651,3.979659003,3.965365219,3.991497919
COX15,4.224086593,4.283126886,4.254247839,4.39567088,4.472518315,4.372170659
CCDC88C,3.728177068,3.562381051,3.686034946,3.787041354,3.796739027,3.821272851
YAF2,4.509354193,4.528392159,4.35522401,4.336335217,4.425814607,4.444508982
ZMYND11,6.661487178,6.636988496,6.681248646,6.754644147,6.798638856,6.690705271
WAS,1.07070806,0.946296676,1.037343562,1.078919168,0.975142236,1.247226953
BID,6.848462624,6.91161488,6.876741142,6.752437791,6.788902917,6.806261318
MATR3,7.712232599,7.721696708,7.694649489,7.839669603,7.85004016,7.815586777
XYLT2,3.908566804,4.027433821,4.057127471,4.23259852,4.269416966,4.247460536
RGPD5,3.055319472,4.153637358,3.197856351,3.3603021,3.083844101,3.372446509
NUDCD3,5.149305791,5.185597561,5.230962135,5.245582444,5.260191075,5.121697121
CHDH,2.52501145,2.533361506,2.851759034,3.171426226,2.975056369,2.972913728
GLT8D1,4.302733154,4.419839938,4.429746705,4.495238301,4.468014911,4.557119328
ATP2C1,6.490378534,6.453830965,6.36947567,6.542623001,6.625082852,6.566334222
RALBP1,5.396933901,5.385339675,5.349136441,5.312561825,5.289743409,5.302525277
RUFY3,4.050937662,3.8504177,3.960979241,3.888776558,3.807956607,3.721407397
WWTR1,5.501528246,5.526806927,5.484663134,5.15110653,5.336031812,5.32985957
CXorf56,5.363681328,5.277809977,5.335586869,5.235355618,5.266243086,5.306400239
TTC27,4.096725273,4.076306824,4.053031812,4.212500626,4.332478874,4.268766133
PHLDB1,4.976805313,5.052415025,4.990448517,4.730213426,4.850348831,4.746333987
PRDM11,2.217555829,2.278523025,2.381965044,2.051610536,2.150112014,2.275299432
SYT13,2.12591978,2.162529499,2.267911779,1.769641002,1.954899802,1.913006567
SNAI2,4.256565366,4.256799556,4.144466387,3.927981383,4.078898584,3.935518209
ZRANB1,3.827695679,3.832809018,3.870305531,3.798009028,3.810926321,3.817039922
NCDN,4.559488632,4.620464304,4.61275977,4.649218232,4.634309813,4.576362925
ZFP64,4.177195507,4.20256149,4.252735891,4.34911478,4.479958387,4.274341436
MNAT1,5.208886158,5.094081741,4.944560367,5.141611196,5.104072253,5.069008446
SAMD4A,4.672251823,4.664869062,4.83432635,4.491006788,4.399148195,4.499208474
MRE11A,2.508309226,2.548924839,2.38960811,2.831519015,2.59285956,2.621708578
PLEKHB1,2.697453247,2.782536263,2.716633193,2.585166387,2.561587643,2.704072508
