,TWV1,TWV2,TWV3,TWE241,TWE242,TWE243
CSNK1G2,5.784004023,5.596891051,5.682229806,6.019831009,6.135458734,6.090598943
CSNK1G2-AS1,0,0,0,0,0,0
CSNK1G2P1,0,0,0,0,0,0
CSNK1G3,4.983605514,5.099703045,5.048330901,5.527449434,5.454198404,5.500099404
CSNK2A1,7.679137005,7.750041026,7.752889208,7.977246027,8.053693061,8.099634814
CSNK2A2,5.536438253,5.550365803,5.536056094,5.844350382,5.846903611,5.840907777
CSNK2A3,0.676262318,0.58501997,0.538990761,0.672078255,0.807060219,0.717179508
CSNK2B,5.270651998,4.758865148,4.837714091,4.994729945,5.507122024,5.214147247
CSPG4,0.707675415,0.716274497,0.671136405,1.32051028,1.289100268,1.400091618
CSPG4P10,0,0,0.097186689,0,0.077966324,0.04162307
CSPG4P11,0,0,0,0,0,0.04162307
CSPG4P12,0,0.050632018,0,0,0,0
CSPG4P13,0,0,0,0,0,0
CSPG4P1Y,0,0,0,0,0,0
CSPG4P2Y,0,0,0,0,0,0
CSPG4P3Y,0,0,0,0,0,0
CSPG4P4Y,0,0,0,0,0,0
CSPG4P5,0,0,0,0,0,0
CSPG5,2.208873773,1.850981168,2.060286157,3.099714024,3.200149486,3.25507325
CSPP1,4.645315626,5.047680648,5.022272176,5.286584546,5.201182599,5.285177655
CSRNP1,3.910279777,3.903612391,3.969822566,3.456045221,3.387873664,3.661055296
CSRNP2,5.167113255,5.327239503,5.357533584,5.040038463,4.873804835,4.983991171
CSRNP3,1.308825564,1.792680557,1.72230053,1.147299396,0.829774155,1.230493302
CSRP1,8.036363723,7.790170952,7.812466012,8.162788463,8.265580494,8.157572687
CSRP2,0.049876268,0,0,0,0,0
CSRP2BP,5.012192645,4.972531341,4.904692414,4.639952959,4.808122267,4.773153409
CSRP3,0,0,0,0,0,0
CST1,0,0,0,0,0,0
CST11,0,0,0,0,0,0
CST12P,0,0,0,0,0,0
CST13P,0,0,0,0,0,0
CST2,0,0,0,0,0,0
CST2P1,0,0,0,0,0,0
