,MWV1,MWV2,MWE1,MWE2
ZNF496,4.074092828,4.818012051,4.183299672,4.693020336
KLF1,0.558689664,0.164341623,0.329985457,0.075633777
RBM5,6.081986361,6.415108438,6.045979732,5.942468544
PPP1R42,0,0.084509627,0,0
CNTRL,4.276882621,4.486468691,4.460916667,4.39016272
CFD,2.087937776,2.110363271,2.201009554,1.416050783
UGDH-AS1,1.724884972,1.490476802,1.056169355,1.262686236
KIF18A,5.066691694,5.011206142,4.883966691,5.169344673
FTH1,9.439326951,9.237759196,9.471807164,9.610896887
SLC39A5,0.082861088,0.164341623,0.329985457,0.075633777
ABCB9,3.713569579,4.070882666,3.797161941,3.77636045
GZMM,0.235542107,0.084509627,0.072311833,0.075633777
LINC01473,0.306221876,0.164341623,0.387804595,0.281307171
IL17RA,5.525024603,5.716437283,5.527612229,5.516691816
A4GALT,3.907907366,3.78548591,4.798614279,4.780380909
MAMLD1,1.962253318,2.698170007,2.767276786,3.351046417
SCARNA4,0.306221876,0.084509627,0,0.215953927
DISP1,3.006270341,3.469189824,2.711762537,3.129388318
ZNF521,0.161220443,0.239986759,0.206893763,0.403751207
RBP1,0,0,0,0
MNT,4.726784769,4.893157468,4.741546289,4.622267588
NDUFS3,7.138213298,6.758381717,6.85070834,7.149935722
NUP210,7.313046338,8.111526885,7.585756687,7.983012989
PPP1R2P3,2.849442264,2.737851954,2.654026341,2.733681322
TRIM69,0.082861088,0,0.14117154,0.147499166
CABLES2,5.637233178,5.97627451,5.803329087,5.663328705
SNAPC2,3.394751817,3.545712359,3.357837041,3.543140508
TUBB2A,3.687327993,2.838625479,3.528199824,3.921786713
DNAJC24,4.272476309,4.106686402,4.120737187,4.412212642
CHD1L,5.908266153,6.438376972,6.110722083,6.546422618
LINC01207,0,0,0,0.215953927
