,IRJ7,IRJ8,IRJ9,IRJ13,IRJ14,IRJ15
OTOR,2.693608557,2.365894829,2.978181077,1.944208272,1.935228395,1.938286912
ZP2,0,0,0,0,0,0
ZWILCH,4.893061216,4.975812058,5.088464677,5.19390247,5.065246869,5.241174296
FAM220A,6.251772287,5.363252385,6.125138702,5.584853629,6.297753292,5.776566117
PNP,5.439192199,5.363252385,5.401887198,6.202236801,6.133347198,6.137428167
HVCN1,0,0,0,0,0,0
WFIKKN1,0,0,0,0,0,0
GRM7,0,0,0,0,0,0
GLYCTK,3.202252029,2.986326809,3.410326004,3.25471436,3.243845751,3.014579793
OVCH2,0,0,0,0,0,0
ARMC1,5.483956397,5.628533473,5.659223234,5.496593771,5.484717971,5.619194376
TACO1,5.079624364,5.097517334,5.028906553,5.402580548,5.529514471,5.442530349
CTSW,0,0,0,0,0,0
CXCR4,0,0,0,0,0,0
TRMT1L,4.426926041,4.617264909,4.608320166,3.929916578,3.444316332,3.922437155
C1QTNF8,0,0,0,0,0,0
ZNF783,1.243257057,0,1.248525183,0,2.733088194,0
C2orf48,0,0,0,0,0,0
CHRFAM7A,0,0,0,0,0,0
ALOXE3,1.900972127,1.914493786,1.907647602,1.944208272,2.388624898,1.938286912
BCKDHB,4.121669088,4.139051209,3.883605278,3.455350716,3.444316332,3.624102287
ESD,6.375724614,6.508095714,6.431472772,6.457333143,6.421755163,6.56182403
ZNF391,1.243257057,1.253933359,0,0,0,0
NEDD8-MDP1,3.577560613,3.218695234,3.742422023,1.944208272,3.620298624,3.922437155
OGDHL,1.900972127,1.914493786,1.907647602,2.398459277,1.935228395,1.938286912
TOM1L1,6.511647853,6.529881841,6.454291042,6.202236801,5.880193932,6.221975216
TRIM24,3.733995743,4.020945135,3.883605278,3.455350716,3.444316332,3.448076373
CFC1,0,0,0,0,0,0
CTD-2144E22.5,0,0,0,0,0,0
DEFA3,0,0,0,0,0,0
RUNX1T1,1.243257057,1.253933359,1.248525183,1.277468654,0,0
ANKRD17,4.332173241,4.44450896,4.340831232,4.058789173,4.165616135,4.169525628
UGT1A9,0,0,0,0,0,0
LONP1,5.726785039,5.628533473,5.659223234,5.892134504,6.348639996,6.166164577
CDON,2.351054822,1.914493786,1.907647602,1.944208272,2.388624898,1.938286912
MANEAL,4.599585882,4.44450896,4.340831232,5.353172046,5.341324478,4.94210539
EIF2S3,7.18919521,7.349030705,7.364065546,7.389080797,7.460349186,7.597011167
AC003002.4,1.900972127,2.365894829,1.248525183,1.944208272,1.270345541,1.27277062
H3F3B,9.277049498,9.206942619,9.273368699,9.583427642,9.5222687,9.564679767
RECK,0,0,0,0,0,0
MAK,0,0,0,0,0,0
TULP2,0,0,0,0,0,0
MRPS16,7.229186969,7.095090439,7.143131936,7.517976245,7.51706258,7.510013972
CCDC166,0,0,0,0,0,0
KIF13A,3.875115378,3.892301235,3.883605278,3.929916578,4.047374939,4.051264754
TRIM73,3.402076351,3.218695234,3.210373997,2.743413855,2.733088194,2.39197511
OMA1,4.003652778,4.248215911,4.239382256,3.631460697,3.243845751,3.624102287
PEG10,4.003652778,3.892301235,3.883605278,4.735218222,4.644276625,4.802647065
KRTAP5-2,1.243257057,1.253933359,1.907647602,1.944208272,1.270345541,1.27277062
TACR1,0,0,0,0,0,0
MYRIP,2.351054822,2.365894829,2.358382844,1.944208272,2.388624898,2.39197511
VSTM2L,0,0,0,0,0,0
RCOR3,4.753773121,4.771528768,4.96678345,4.17708796,4.560414973,4.47532957
IDH3A,6.144322039,6.105604151,6.33640976,6.360637509,6.445326009,6.472611114
KYNU,5.799422872,5.920079498,5.843364543,5.353172046,5.065246869,5.294208655
GOLGA8T,0,0,0,0,0,0
FBXO17,3.202252029,3.218695234,3.210373997,3.631460697,3.620298624,3.624102287
CASP8,3.733995743,4.020945135,4.130256238,4.058789173,3.444316332,3.780967602
SEMA5A,0,0,0,0,0,0
HDAC5,5.834414828,5.587570748,5.619396682,5.19390247,5.124850851,5.241174296
AGO4,1.243257057,1.914493786,1.248525183,0,1.270345541,1.27277062
C4orf45,0,0,0,0,0,0
SLC25A33,2.693608557,2.709209082,2.701313152,3.25471436,3.243845751,3.247549162
SRL,0,0,0,0,0,0
QRFP,1.243257057,0,1.248525183,0,0,0
TPBG,5.191816045,4.975812058,5.145661258,6.055501589,5.980402533,6.01639195
KLHL1,0,0,0,0,0,0
USF2,6.694173795,6.712431644,6.740803139,6.771279255,6.885233253,6.836683095
ID3,6.554251456,6.485975543,6.498872603,6.309745476,6.297753292,5.918447358
WT1,1.243257057,1.253933359,1.248525183,1.944208272,1.270345541,1.938286912
NCKIPSD,4.332173241,4.349698317,4.130256238,4.810367039,4.870062173,4.648251168
STEAP1,2.970231369,3.218695234,3.210373997,1.944208272,1.270345541,1.938286912
TRIML1,0,0,0,0,0,0
CD52,0,0,0,0,0,0
PENK,0,0,0,0,0,0
MRTO4,4.515837384,4.349698317,4.340831232,5.402580548,5.438485819,5.394764257
OR9A4,0,0,0,0,0,0
KIAA1199,0,0,1.248525183,0,0,0
FAM166B,0,0,0,0,0,1.27277062
OR56A4,0,0,0,0,0,0
LCE4A,0,0,0,0,0,0
PNMA6D,0,0,0,0,0,0
HIC2,0,0,0,0,1.270345541,0
TMEM70,5.901951112,5.668365175,5.772502764,6.024274679,6.104027957,6.078178992
CLEC18C,0,0,0,0,0,0
CLEC18B,0,0,0,0,0,0
PFKL,6.48986478,6.393938765,6.408287791,6.844619317,7.032561385,6.871999119
SPP1,0,0,0,0,0,0
LIPJ,0,0,0,0,0,0
GNAZ,0,0,0,0,1.270345541,1.27277062
AL646016.1,0,0,0,0,0,0
NMNAT3,2.693608557,2.365894829,2.358382844,2.743413855,2.388624898,3.014579793
ANGPTL6,0,0,0,0,0,0
ENO4,2.693608557,3.218695234,2.701313152,2.743413855,1.270345541,2.39197511
SDIM1,0,0,0,0,0,0
UBL4A,5.345268287,4.975812058,5.253670552,5.707877467,5.615138859,5.488765509
OR5R1,0,0,0,0,0,0
OR2C1,0,0,0,0,0,0
RPL7A,11.73717983,11.63891428,11.58892654,11.83409651,11.92562136,11.83953552
AC006538.4,0,0,0,0,0,0
HSD11B1L,2.970231369,2.986326809,2.978181077,2.398459277,3.010952856,2.736606163
TNFRSF17,0,0,0,0,0,0
FAM179A,0,0,0,0,0,0
STYK1,1.243257057,1.253933359,1.248525183,1.944208272,0,1.938286912
C16orf58,5.966466727,5.781658597,5.877531567,5.707877467,5.980402533,5.813365841
CYP26C1,0,0,0,0,0,0
