,t47d_01,t47d_02,t47d_03,t47d_04,t47d_17,t47d_18,t47d_19,t47d_20
PROM1,2.139976936,2.099163891,2.523571992,2.534517354,2.675973964,2.013372926,2.175080627,2.211174215
CCDC124,4.044376632,3.808003989,4.087208226,4.106432078,4.358290757,4.189476689,4.434748308,4.284543745
CEACAM21,0.086806724,0,0,0.222617876,0,0,0.11896193,0
PAFAH1B1,5.790235097,5.565295567,6.256489886,6.181750584,6.125773002,5.998881478,6.035353379,5.870589121
NOS2,0,0,0.022721048,0,0.070625224,0.041266676,0.023163925,0.02428847
DNAH9,0.129430478,0.056836117,0,0,0.054545531,0.080747019,0.049579332,0
KIAA0100,6.188404881,6.054750818,6.354963389,6.420015778,6.300229909,6.212512922,6.384657711,6.462958628
SLC13A2,0,0.031703183,0,0,0,0,0,0
GAS7,2.091462891,1.533199514,2.158094619,1.92138301,0.952496093,1.478749238,1.568231587,1.285775052
TRAPPC6A,4.712601283,4.559901681,4.734005034,4.767257526,4.778061355,4.572877545,4.523674858,4.658251478
MATK,0.86025488,0.739068664,1.06179002,1.181980308,0.612470458,0.820931317,1.100614406,1.060898219
CEACAM7,0.036228026,0.031922912,0.138840676,0.033428781,0,0,0,0.037184273
CD79B,0,0.062165379,0,0,0,0,0,0
SCN4A,0,0,0,0,0,0,0,0
ST7L,3.67331897,3.363818672,3.636090942,3.761402301,3.71228762,3.391206807,3.59485903,3.604842295
TKTL1,0,0,0,0,0,0,0,0
PAX6,1.612210935,1.635053185,1.72013397,1.594954549,1.599779573,0.833115158,1.44484196,1.190722308
RPUSD1,3.290446522,3.125912244,3.458641855,3.255171368,3.740074856,3.592277624,3.747612971,3.865760485
RHBDF1,5.059597553,4.844601579,5.181349076,5.281301362,4.543730952,4.473072529,4.819014122,4.793661829
LUC7L,4.868395392,4.857707355,5.053124373,5.092621849,4.853731229,4.919349618,4.98841657,4.918457795
CACNA2D2,0.590885573,0.384194622,0.484355744,0.445826269,0.510414097,0.662485351,0.447846817,0.718104247
BAIAP3,2.674521667,2.389528266,2.449603631,2.590949269,1.884418183,1.883351019,2.16282231,2.963000546
TSR3,5.091103171,4.819887841,5.150750561,5.09684374,5.295322628,5.284658484,5.388037957,5.295252823
PIGQ,4.849128577,4.399458237,4.569169026,4.891093474,4.505433665,4.743504197,4.622139697,4.671231088
CRAMP1,2.966229259,2.823508891,2.933159032,3.084310931,2.743226271,2.311726884,2.576147206,2.822163154
TEAD3,3.124283464,3.053024425,3.221589441,3.475902006,2.774628947,2.891113894,3.081366899,3.051138885
SELE,0,0,0,0,0,0,0,0
DNAJC11,3.673997306,3.572149946,3.739275663,4.013551588,3.882946228,3.785069224,3.768671318,3.83020461
FMO3,1.53415127,1.432831162,1.362262272,1.684998222,1.075135536,1.14208663,1.255434262,1.238841877
MYLIP,3.373454726,3.045089943,3.387140549,3.4720848,2.649491301,2.634577006,2.859758891,2.517726701
NOX1,0.303304982,0.132746469,0.293089099,0.280684373,0.206515701,0.1626625,0.037567775,0.162487203
E2F2,1.179230764,1.23287561,1.263358976,1.15873772,2.531321568,2.392276202,2.598267529,2.659837811
PSMB1,7.15754905,6.887452159,7.215338848,7.144464511,7.306982168,7.226441095,7.238318748,7.198415573
SYN1,0.486904832,0.329517449,0.429879441,0.151844533,0.394442801,0.438692066,0.578062447,0.502688048
JARID2,2.810109898,2.607086441,2.924422983,3.010038611,2.514713107,2.407635551,2.528723831,2.587348187
CDKL5,2.595630165,2.420431199,2.975166087,2.874647476,2.149981183,1.859190362,2.303108551,2.528796332
CAMK1G,0,0,0,0,0,0,0,0
CDK11A,3.694690792,3.530919724,3.857573003,3.829717662,3.296018291,3.151737072,3.602563774,3.752384661
NADK,4.708043732,4.480148771,4.726471588,4.803795322,4.675392543,4.610717777,4.851804,4.77254024
TFAP2B,1.868410209,2.089908257,1.950636377,2.336768966,1.431804789,0.909258518,1.442226945,1.504452598
TFAP2D,0,0,0,0,0,0,0,0
DLEC1,0.308846624,0.420743241,0.592302504,0.330741952,0.190705875,0.25792303,0.444627845,0.284923905
CYTH3,2.52945117,1.750366393,2.503501393,2.191805817,1.91019155,2.252028046,2.070564502,2.066151203
ADAM22,1.953485026,1.877489057,2.200730326,2.057845335,1.755780628,1.661804315,1.785219918,1.941542059
SYPL1,5.205607556,5.008253807,5.29388543,5.357309189,5.546468532,5.364863043,5.420876472,5.476764022
CYB561,6.024377308,5.816400029,6.097747728,6.175772082,5.882364264,5.766685261,5.885601207,5.920259948
SPAG9,4.687133493,4.61761586,4.930481887,5.061037383,4.989343405,4.940650701,5.096485359,5.013154035
CELSR3,2.842343303,2.739072554,2.983723291,3.11015775,2.622475924,2.58168145,2.650242981,2.570681505
AASS,1.796689114,1.761846921,1.83009709,1.88400392,0.994828056,1.106415327,0.887731912,1.189192006
PLEKHG6,1.28403434,1.736700114,1.910617549,1.886401871,1.890076973,1.797465436,1.510465749,1.773764294
SS18L2,4.767559463,4.608779679,4.905572332,4.772302696,4.867338053,4.853656384,4.767411151,4.905009057
MPND,2.971896655,2.903657262,2.784166826,2.584702792,2.474430851,2.406003248,2.805767084,2.947969063
MGST1,8.024485909,7.771654528,8.060841815,8.16466562,7.955551109,7.792289249,7.935842765,7.908194443
CRY1,3.748257266,3.496717988,3.494249185,3.702646463,3.314747273,3.188791773,3.116719065,3.308304077
PGLYRP1,0.120580338,0.204833094,0.116258148,0.109492285,0.114473907,0,0.227165608,0.123858322
NFIX,2.376454317,2.381640541,2.356400204,2.549595248,2.493286103,2.09521893,2.178794302,2.414130119
