,TWV1,TWV2,TWE1,TWE2,TSV1,TSV2,TSE1,TSE2,TGV1,TGV2,TGE1,TGE2
NUPR1,9.715637668,9.840347319,9.441669591,9.158202909,7.668665852,8.430563275,7.877396067,8.021816144,8.884833245,8.985346703,8.679195155,8.8950293
ETV3,4.588912512,4.69260439,4.4919214,4.604444199,4.23111066,4.218472772,4.134075378,4.192525339,4.138806458,4.368852716,4.080168746,4.158233009
PDLIM7,3.427187598,3.508369956,3.59364119,3.472243511,4.084069836,4.046613547,4.017075745,4.05776322,3.265586859,2.971187125,3.333821098,3.270751404
GBF1,8.144685086,8.17771112,8.327899514,8.345770098,7.859948049,7.823664973,7.706831818,7.967713332,8.198314767,8.109866766,8.340979204,8.147867452
CHKA,6.291596701,6.38785868,6.002924674,6.065109465,5.921344265,5.922870281,5.800594132,5.877625616,6.392434098,6.406506167,5.847813698,5.858456863
UBOX5,4.435483356,4.436179197,4.169512491,4.382728094,4.029770512,3.994830586,4.004051736,3.845067836,4.426685928,4.373872795,4.391621455,4.36381032
F12,1.363838347,1.173694829,1.138589296,1.358971434,1.654388182,1.822182959,1.934613109,1.649789068,1.37838983,0.688996866,1.061311686,1.084512713
EPAS1,8.709471201,8.860669774,8.196247552,8.390670685,7.528145425,7.511534655,7.372003669,7.111985467,8.787527041,9.178020348,8.416181596,8.650789665
VGLL1,3.320847811,3.554455694,3.125144158,3.147693296,1.093297931,2.726978462,1.457349816,2.242519267,2.526815739,3.61293938,2.605210403,3.488053598
CTXN1,3.905289334,4.157339779,3.749075794,4.30870536,4.374950194,4.883359201,4.853369616,4.881707565,4.950616193,4.906297948,5.268074303,5.152229108
KIAA1522,8.960700249,9.23948808,8.747155415,9.06221039,8.614295234,8.316544399,8.393216883,8.295784626,8.642674775,8.617723811,8.500857249,8.392840703
CRACR2B,5.895818129,5.512791515,6.067126321,5.304852744,5.390915133,4.590937666,4.601723948,4.587700756,5.206422252,4.630306192,4.649862139,4.754849605
SLC20A2,6.174340849,6.412466021,5.959806249,6.228880299,5.575521717,5.55859421,5.677209267,5.424934744,6.104522829,6.322016966,5.936433535,6.00461762
CA8,2.527579061,2.659707909,3.067226232,2.903744844,4.613396324,4.105246548,5.047400357,4.429305693,3.226892129,2.82489248,3.481506226,3.229976991
MAFG,3.034569984,2.693052531,3.207881798,3.183637232,3.820284689,3.673040485,3.646603755,3.877441015,3.696215902,3.59155118,3.7296213,3.566569198
