,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
ATG12,4.90014226,5.151371776,4.898692073,4.998195503,4.888012585,5.155020578
ATG12P2,0,0,0,0,0,0
ATG13,5.284662185,5.759155834,5.714795011,5.054414388,3.805292456,4.527946099
ATG14,2.367371066,2.821710215,2.378511623,2.543495883,2.286881148,2.176322773
ATG16L1,3.450221496,3.715893371,3.590961241,3.135863165,2.704871964,3.066950244
ATG16L2,5.238404739,4.251719093,4.379898164,5.457462965,4.804776378,4.905447179
ATG2A,3.731183242,3.884597921,4.091699834,3.601696516,3.169925001,3.973611276
ATG2B,3.139142019,3.631104282,3.534808661,3.08236197,2.304511042,2.735522177
ATG3,5.658211483,5.784503983,5.75141016,5.464668267,5.097610797,5.393690764
ATG3P1,0,0,0,0,0,0
ATG4A,1.859969548,1.895302621,2.063502942,2.23878686,1.790772038,2.198494154
ATG4AP1,0,0,0,0,0,0
ATG4B,6.201633861,5.957914599,5.978882028,4.693208149,3.751677946,4.260025656
ATG4C,2.516015147,2.632268215,2.548436625,2.769771739,2.568032105,2.528571319
ATG4D,4.882153917,5.09212285,5.352970338,5.081510068,4.860962798,5.336283388
ATG5,4.344118335,4.305970521,4.125981654,3.307428525,2.833902077,3.234194723
ATG7,4.912649865,4.859969548,4.777156666,4.344828497,3.420886575,4.214124805
ATG9A,5.067810784,5.017031081,5.101818134,5.179112901,4.106850796,4.800123353
ATG9B,0.378511623,0.23878686,0.799087306,0.650764559,0.815575429,0.687060688
ATHL1,5.645298164,4.680886921,4.981396032,5.484138131,4.720825666,4.997292408
ATIC,7.859472667,7.903881846,7.924337464,7.450221496,7.923208618,7.707013948
ATL1,0.526068812,0.545968369,0.555816155,0.526068812,0.163498732,0.35614381
ATL2,5.299024807,5.216842843,5.169123281,5.485104761,4.570462931,4.94016675
ATL3,5.087038457,4.999098034,4.862451391,4.056583528,3.836934011,3.898208353
ATM,2.702657543,3.212569339,2.782408565,3.102658131,2.908812908,2.632268215
ATMIN,5.555816155,5.788685711,5.557655155,5.499527024,4.797012978,5.066519781
ATN1,5.987320866,6.177718511,6.320123598,6.490890979,5.894090171,6.358958826
ATOH1,0.028569152,0,0,0,0,0
ATOH7,0.263034406,0.097610797,0.163498732,0.310340121,0.150559677,0.263034406
ATOH8,1.459431619,1.925999419,1.739848103,5.132576843,3.847996907,4.634593268
ATOX1,6.910852562,7.072856116,7.000901403,8.069315495,8.248212228,8.49817107
ATP10A,0,0,0,0,0,0
ATP10B,0,0.014355293,0,0,0.014355293,0
ATP10D,0.201633861,0.310340121,0.367371066,0.5360529,0.084064265,0.321928095
ATP11A,3.285402219,3.276496666,3.056583528,2.825785627,1.378511623,2.117695043
ATP11A-AS1,0,0,0,0,0,0
ATP11AUN,0,0,0,0,0,0
ATP11B,4.583759754,4.277240898,4.170726276,4.717539343,3.904965719,4.230356745
ATP11C,2.344828497,2.347665656,2.424922088,2.319039816,1.378511623,1.956056652
ATP12A,0.042644337,0.014355293,0.028569152,0,0,0
ATP13A1,6.166916252,5.792855352,5.910252963,5.707911254,4.929317595,5.333423734
ATP13A2,4.623515741,4.493134922,4.742545234,5.128045891,3.936402378,4.855491443
ATP13A3,4.731183242,4.581953751,4.288358562,4.519793486,4.14404637,4.111031312
ATP13A4,0,0,0,0.070389328,0.070389328,0.070389328
ATP13A4-AS1,0,0,0,0,0,0
ATP13A5,0,0,0,0,0.097610797,0
ATP13A5-AS1,0,0,0,0,0,0
ATP1A1,8.976993646,8.795325387,8.738159832,8.789859641,8.247880056,8.551669815
ATP1A1-AS1,2.89917563,3.039138394,3.023255352,2.313245852,2.032100843,2.46727948
ATP1A2,0.286881148,0,0.014355293,0,0,0
ATP1A3,1.475084883,1.189033824,1.244887059,1.03562391,0.555816155,0.98550043
ATP1A4,0,0,0,0,0,0
ATP1B1,4.556429415,4.599317794,4.475733431,5.048759312,4.838447593,5.008988783
ATP1B1P1,0.176322773,0.056583528,0,0.137503524,0.070389328,0
ATP1B2,0.411426246,0.137503524,0.111031312,0.321928095,0.263034406,0.321928095
ATP1B3,6.860217925,6.788816194,6.826167108,7.17462613,7.131033798,7.028016544
ATP1B3-AS1,0,0,0,0,0,0.150559677
ATP1B3P1,0,0,0,0.042644337,0,0
ATP1B4,0.014355293,0,0,0,0,0
ATP2A1,1.63691458,1.150559677,1.389566812,1.464668267,1.263034406,1.799087306
ATP2A2,7.419370343,7.172627522,7.146797758,6.597084173,4.961160258,5.771621518
ATP2A3,6.865795121,6.681730355,6.932273817,7.72369507,6.71259578,7.382580799
ATP2B1,4.82374936,4.901590992,4.800123353,5.269033146,4.496973581,5.061776198
ATP2B2,0.028569152,0.014355293,0.028569152,0,0,0
ATP2B2-IT1,0,0,0,0,0,0
ATP2B2-IT2,0,0,0,0,0,0
ATP2B3,0,0,0,0,0,0
ATP2B4,3.481557281,3.184280294,3.016139703,5.353323291,4.510329019,4.50779464
ATP2C1,6.141596278,5.588264894,5.570766497,6.331275267,5.352617299,5.741466986
ATP2C2,5.287620044,5.060047384,4.83541884,5.494095545,4.167518504,4.754887502
ATP4A,0.124328135,0.056583528,0.070389328,0,0,0.014355293
ATP4B,0,0,0,0,0,0
ATP5A1,8.459636532,8.714657657,8.683591195,8.067595697,7.86950131,8.398016818
ATP5A1P10,0,0,0,0,0,0
ATP5A1P2,0.163498732,0,0,0,0,0
ATP5A1P3,0,0,0,0.014355293,0,0
ATP5A1P6,0,0,0,0,0,0
ATP5A1P7,0,0,0.042644337,0,0,0
ATP5A1P8,0,0,0,0,0,0
ATP5B,9.749483987,9.974185117,10.00344764,10.00695716,10.45293102,10.28852006
ATP5BP1,0,0,0,0,0,0
ATP5C1,8.273935434,8.591858905,8.450221496,8.140727539,8.803905078,8.517630023
ATP5C1P1,0,0,0.056583528,0,0,0
ATP5D,6.915162334,7.57251076,7.70763522,7.231893162,7.86814348,8.016362599
ATP5E,7.737348759,8.081403545,8.3369528,8.235966341,8.360539862,8.601473678
ATP5EP1,0,0,0,0,0,0
ATP5EP2,0.687060688,1.014355293,0.632268215,0.887525271,1.411426246,0.731183242
ATP5F1,8.753049567,9.074783707,8.981224762,8.425257872,8.252097703,8.602624641
ATP5F1P1,0,0,0,0,0,0
ATP5F1P2,0,0,0,0,0,0
ATP5F1P3,0,0,0,0,0,0
ATP5F1P4,0,0,0,0,0,0
