gene_id,MCF7_1,MCF7_2,MCF7_3,FulR_1,FulR_2,FulR_3
PCDHAC1,0.722466024,0.963474124,0.575312331,0.757023247,0.731183242,1.063502942
PCDHAC2,1.922197848,2.077242999,1.959770155,1.214124805,1.070389328,0.895302621
PCDHB1,0.028569152,0.042644337,0,0.163498732,0,0.22650853
PCDHB10,1.124328135,1.310340121,1.339137385,1.3950628,1.117695043,0.90303827
PCDHB11,0.641546029,0.275007047,0.367371066,0.790772038,0.604071324,0.545968369
PCDHB12,0.632268215,0.263034406,0.773996325,0.713695815,0.695993813,0.604071324
PCDHB13,1.933572638,1.66448284,1.941106311,2.176322773,2.03562391,1.871843649
PCDHB14,2.232660757,1.807354922,2.077242999,2.485426827,2.280956314,2.15704371
PCDHB15,0.35614381,0.097610797,0.422233001,0.50589093,0.516015147,0.59454855
PCDHB16,3.459431619,2.813524689,3.066950244,3.500802053,3.201633861,3.145677455
PCDHB17,0,0.22650853,0,0.042644337,0.056583528,0.111031312
PCDHB18,0.298658316,0.137503524,0.028569152,0.298658316,0.042644337,0.275007047
PCDHB19P,0.286881148,0.344828497,0.250961574,0.367371066,0.613531653,0.389566812
PCDHB2,3.196921734,3.092545742,3.224966365,3.438292852,3,3.476381688
PCDHB3,3.214124805,3.09592442,3.267535798,3.656496371,3.438292852,3.475084883
PCDHB4,0.704871964,0.622930351,0.722466024,0.839959587,0.790772038,0.871843649
PCDHB5,0.137503524,0.214124805,0.150559677,0.310340121,0.389566812,0.555816155
PCDHB6,0.214124805,0.028569152,0.201633861,0.176322773,0.201633861,0.411426246
PCDHB7,0.084064265,0.163498732,0.189033824,0.286881148,0.321928095,0.137503524
PCDHB8,2.950468414,2.847996907,2.63691458,3.019701914,2.748461233,2.803227036
PCDHB9,2.319039816,2.15704371,2.580145484,2.627606838,2.3950628,2.424922088
PCDHGA1,1.726831217,1.718087584,1.655351829,2.14404637,1.97819563,1.922197848
PCDHGA10,0.40053793,0.263034406,0.35614381,0.344828497,0.214124805,0.097610797
PCDHGA11,0.111031312,0.150559677,0.111031312,0.201633861,0.214124805,0.344828497
PCDHGA12,0.310340121,0.516015147,0.22650853,0.35614381,0.333423734,0.367371066
PCDHGA2,2.304511042,2.15704371,2.17951105,1,0.879705766,1.09085343
PCDHGA3,0.422233001,0.214124805,0.275007047,0.411426246,0.604071324,0.111031312
PCDHGA4,1.09085343,1.150559677,0.992768431,1.891419187,1.608809243,2.028569152
PCDHGA5,0.831877241,0.731183242,0.516015147,1.339137385,1.304511042,0.895302621
PCDHGA6,0.765534746,0.757023247,0.879705766,1.304511042,1.327687364,0.910732662
PCDHGA7,0.189033824,0.124328135,0.613531653,0.584962501,0.40053793,0.464668267
PCDHGA8,0.367371066,0.485426827,0.22650853,0.084064265,0,0.23878686
PCDHGA9,0.871843649,0.659924558,0.941106311,0.956056652,0.90303827,1.09085343
PCDHGB1,2.247927513,2.09423607,2.353323291,2.969012308,2.724650272,2.655351829
PCDHGB2,1.214124805,1,0.799087306,1.641546029,1.3950628,1.516015147
PCDHGB3,0.275007047,0.669026766,0.516015147,0.669026766,0.641546029,1.070389328
PCDHGB4,0.176322773,0.056583528,0.056583528,0.378511623,0.201633861,0.40053793
PCDHGB5,4.13422094,3.86393845,4.021479727,3.98458935,3.821710215,3.822730148
PCDHGB6,0.545968369,0.422233001,0.659924558,0.722466024,0.464668267,0.443606651
PCDHGB7,0.622930351,0.748461233,1.063502942,0.641546029,0.545968369,0.555816155
PCDHGB8P,0.084064265,0.056583528,0.056583528,0.070389328,0,0
PCDHGC3,4.280213996,4.566815154,4.487357715,4.132576843,4.283921772,4.379898164
PCDHGC4,0.070389328,0.042644337,0.097610797,0.286881148,0.189033824,0.097610797
PCDHGC5,0.189033824,0.321928095,0.189033824,0.298658316,0,0.137503524
PCDP1,0.263034406,0.176322773,0.124328135,0.214124805,0.137503524,0.389566812
PCED1A,4.456806149,4.50779464,4.715344295,5.177917792,5.155020578,5.246788094
PCED1B,2.424922088,2.577730931,2.64385619,1.189033824,1.485426827,1.3950628
PCED1B-AS1,0.275007047,0.042644337,0.084064265,0.22650853,0.084064265,0.176322773
PCF11,4.893362211,4.552745937,4.555816155,5.449231201,5.130107179,5.209063395
PCGEM1,0.056583528,0,0,0,0,0
PCGF1,5.177120503,5.548436625,5.325890061,5.08236197,5.353676158,5.320123598
PCGF2,5.237257771,5.251719093,5.186262836,5.366671916,5.331991778,5.334496768
PCGF3,4.462706751,4.183486514,4.375039431,4.372255648,4.105175192,4.125155131
PCGF5,5.472162804,5.435961895,5.34269696,5.387500406,5.177917792,5.314696526
PCGF6,3.626439137,2.881664619,3.361768359,3.303050085,2.849999259,3.285402219
PCID2,4.811984719,4.900625333,4.792334806,4.420212891,4.601102203,4.472487771
PCIF1,5.273888824,5.39609097,5.341985747,5.173926932,5.177120503,5.167518504
PCK1,0.056583528,0.111031312,0,0,0,0
PCK2,6.844988157,6.952217065,6.892026663,6.511594542,6.631831851,6.555662799
PCLO,0.286881148,0.23878686,0.250961574,0.765534746,0.641546029,0.632268215
PCM1,4.529820947,4.040892431,4.164303583,4.464014725,3.942983598,4.089159132
PCMT1,7.506129031,7.511278265,7.578636862,7.365185097,7.50199637,7.471593934
PCMTD1,4.21800615,3.675815931,3.798050515,4.04701482,3.626439137,3.851998837
PCMTD2,4.963936452,4.555816155,4.709842019,5.378511623,5.168722254,5.181897643
PCNA,8.117123586,7.945034088,8.022645228,8.042425465,7.922495207,7.895363217
PCNA-AS1,0,5.558573776,0,0,3.918386234,0
PCNAP1,0,0,0,0,0,0
PCNP,6.226123143,5.532316959,5.761019265,5.995258373,5.445263208,5.780835002
PCNT,4.370164281,4.241840184,4.184280294,4.373648211,4.116031993,4.20867332
PCNX,3.481557281,3.224966365,3.243364426,3.526068812,3.381283373,3.382667253
PCNXL2,2.671293372,2.353323291,2.659924558,2.815575429,2.752748591,2.655351829
PCNXL3,5.948367232,5.994127114,5.955591792,5.641835002,5.648753033,5.661635602
PCNXL4,3.94204526,3.56924803,3.56315813,4.386121157,4.081510068,4.260778432
PCOLCE,3.528571319,3.671293372,3.568032105,4.499527024,4.49441561,4.471837762
PCOLCE-AS1,0.201633861,0.298658316,0.189033824,0.263034406,0.201633861,0.367371066
PCOLCE2,0.855989697,0.5360529,0.757023247,0.495695163,0.321928095,0.275007047
PCP2,1.163498732,1.989139007,1.726831217,2.384049807,2.634593268,2.673556424
PCP4,2.845991771,2.014355293,2.289834465,3.187451054,3.010779839,3.218781168
PCP4L1,0.641546029,0.613531653,0.807354922,1.914564523,1.967168608,2.063502942
PCSK1,0.014355293,0,0,0,0.042644337,0
PCSK1N,6.603626345,5.417515003,6.154615611,7.142004916,6.053980168,6.14974712
PCSK2,0.014355293,0,0,0,0.028569152,0
PCSK4,1.500802053,1.608809243,1.922197848,1.761285273,1.839959587,2.046141782
PCSK5,0.014355293,0,0.014355293,0.028569152,0.014355293,0
PCSK6,3.737686761,3.731183242,3.667892125,1.959770155,1.761285273,2.007195501
PCSK7,4.871350841,4.881664619,4.943452539,4.471837762,4.51916445,4.564378169
PCSK9,0,0,0,0.014355293,0.056583528,0
PCTP,5.035183997,4.953265239,5.078951341,4.835924074,4.804776378,4.69543711
PCYOX1,5.827565007,5.3305584,5.557348818,5.840211433,5.500802053,5.547819957
PCYOX1L,3.84899843,3.702657543,3.641546029,3.891419187,3.798050515,3.867896464
PCYT1A,5.382321407,5.505255801,5.253989266,4.896756218,4.851499202,4.8899602
PCYT1B,0.070389328,0.214124805,0.137503524,0.137503524,0.150559677,0.137503524
PCYT2,5.605257263,5.832383717,5.717265145,5.445925299,5.494735605,5.541019153
PDAP1,7.793180599,7.741264725,7.736943052,7.42508999,7.413543311,7.445345986
PDC,0.070389328,0,0,0,0,0
PDCD1,0.042644337,0.189033824,0.111031312,0.028569152,0.137503524,0
PDCD10,6.654636029,6.093179847,6.354205296,5.95930649,5.532628658,5.704318678
