"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"LMF2",7.442462517,7.130055682,7.144953889,6.793830871,6.816356506,6.906577978
"LMNA",9.391683958,9.272034857,8.992711791,8.969754883,8.964465058,9.023635163
"LMNB1",7.652407618,7.481355457,7.806304722,7.670599602,8.058321908,7.735765855
"LMNB2",7.103665483,6.983381283,7.383920249,7.125950668,7.422115239,7.565460089
"LMO1",4.463295486,3.850399397,4.471317544,4.379551653,4.262884117,4.67253849
"LMO2",6.022478785,5.298841573,5.788241977,5.504747496,5.743137927,5.886428211
"LMO3",5.258292779,5.296494117,5.334210704,5.684369929,5.408304262,5.61205756
"LMO4",7.682390702,7.801320355,6.741021974,8.191533042,8.573522224,8.09810053
"LMO7",3.417109884,3.554220457,3.895205663,4.227664073,3.985591507,3.916954279
"LMOD1",3.582435573,3.833092483,3.426533138,3.788998852,3.406128457,3.676154552
"LMTK2",4.786962216,4.661920579,4.769877505,4.042469242,4.575735879,4.983677695
"LMX1B",4.378858383,1.932061171,3.202887833,1.701327257,3.008630305,2.220949004
"LNPEP",3.835722002,4.527007761,4.475279478,4.35473424,4.039050636,3.072620344
"LOC100129503",2.452331857,3.544979883,3.743407252,3.371698247,4.074248523,3.288358562
"LOC100130331",3.731617723,3.838145003,2.982947955,3.029452886,3.930453501,3.876271361
"LOC100130449",4.469430179,3.165268812,3.628423667,3.252476214,3.714575239,3.676267408
"LOC100287387",2.257010618,2.833497337,2.910732662,2.442810828,2.483880254,2.215057281
"LOC100288570",4.477159211,4.545474211,4.001351893,5.231662803,4.716277599,4.168000125
"LOC100289473",3.581592279,0,2.429749851,2.417650017,3.425325019,3.621876049
"LOC100289518",3.452463652,3.800848143,3.313390985,3.847495884,4.09017595,4.048759312
"LOC100294145",3.785968967,4.449429314,4.933997453,4.163659738,3.876860697,4.477547816
"LOC100505498",3.594429116,4.078268247,3.447182434,4.028922711,3.749748779,3.900432123
"LOC100505534",3.077755714,3.227741076,3.750177706,2.859572057,0.385154897,3.371976974
"LOC101926913",2.851998837,3.511088466,3.449561375,2.066950244,3.318172203,2.156072961
"LOC101927051",3.809620235,4.124493572,3.206799487,3.856388177,4.086444109,3.906120953
"LOC101927610",4.855640937,4.948740999,5.668573016,5.431054594,5.449726433,5.177917792
"LOC101927770",4.122921152,4.33692603,4.947151819,4.394239735,4.486263863,4.473592115
"LOC101928278",3.196607044,3.626439137,1.750177706,2.91494715,3.380175312,2.818646083
"LOC101929073",1.88869455,2.175684271,3.522934561,3.464406886,3.952706308,3.44148348
"LOC101929148",2.656267535,3.074505436,1.282143229,1.901880564,1.683471893,2.098621677
"LOC101929272",4.413932513,3.988412026,5.699246227,3.010421805,3.525442506,3.474955138
"LOC101929550",4.671010241,5.058965822,4.428879366,4.846142253,5.120725174,5.017610181
"LOC103344931",4.92633158,4.634999768,3.627139871,4.891662208,4.374622206,3.788685711
"LOC155060",5.933643449,5.128293401,5.748541738,6.005489817,5.603092189,5.782696865
"LOC220077",2.346247774,3.68212379,3.222650022,2.291014101,3.965414907,3.725195817
"LOC440434",7.804131021,7.379057733,7.850211846,7.786955684,7.931836678,7.895387455
"LOC440792",1.867896464,2.86710573,4.324594615,3.412781525,2.978744775,3.560837212
"LOC441204",0.64800518,0.754459974,0,1.111031312,0.108357178,0.132247798
"LOC441601",4.841570637,3.613649515,4.164544951,4.953963599,4.119024103,4.921341113
"LOC441666",3.669933836,1.809002775,3.954754665,2.376846014,3.372255648,3.370582797
"LOC647070",4.704982596,3.371558863,4.294988268,4.185866545,4.74292243,3.948413958
"LOC728392",4.85698569,4.150397202,3.621289993,4.26092894,3.180625285,4.516897645
"LOC730101",4.110279713,3.46296844,3.487614972,4.538165647,4.022545365,4.279619866
"LONP1",7.279898395,7.195514932,7.380357161,7.892354594,7.925340801,7.852579445
"LONRF1",4.543372148,4.072620344,4.51752767,3.522306893,4.204062443,4.715783572
"LOR",3.628540319,3.906024719,3.552991795,4.279991226,3.699995744,3.189824559
"LOX",3.232200249,3.026800059,4.030953992,3.79150154,3.099463537,3.494671612
"LOXL1",2.814755483,4.371698247,4.054501216,2.8763696,3.807973087,1.356707253
"LOXL2",5.106976388,4.022811651,4.592457037,4.789051036,4.819923596,5.300453237
"LPA",1.344260395,1.616357697,2.612116552,3.525693061,2.414135533,0.971589536
"LPAL2",4.224040274,3.785341299,3.505382849,4.038084947,3.872631791,4.015336991
"LPAR1",5.648407918,5.31124879,5.559400036,5.648436681,5.634535188,5.719238211
"LPAR2",6.697370729,6.714163076,6.977829417,6.7977912,6.583819915,6.506668582
"LPAR4",2.834104404,2.363451457,2.469625539,3.600031822,3.194402292,2.872040725
"LPAR6",5.173287369,4.820791659,4.704650675,4.309176187,3.761498045,4.287841639
"LPCAT1",7.351054062,7.137831372,7.203729734,7.484839002,7.223142557,7.33700634
"LPCAT3",5.773046871,6.183248295,6.145657078,6.313844432,6.510851182,6.186599597
"LPCAT4",4.940824507,4.833750313,5.074162876,5.192115241,4.955870726,4.86428521
"LPGAT1",4.818185901,5.321314819,5.89268245,5.622168988,5.615769394,5.355544911
"LPIN1",6.941305889,7.339520461,7.561066416,7.419572599,6.827285535,7.214406554
"LPIN2",6.074698091,5.830584924,5.390151756,5.420280273,5.728328707,5.313898836
"LPL",4.681055647,3.396707521,3.913703242,5.280807881,3.800641097,3.846794159
"LPO",2.909004998,3.808488023,2.821506142,2.075874867,3.293811878,2.807767062
"LPP",7.691220077,7.427480468,7.078727237,8.013501342,7.699745948,7.738017927
"LPXN",4.940072761,5.119065617,4.665279061,4.297484916,4.584060534,4.807251869
"LRBA",7.061376593,7.357613582,6.920793488,6.889862881,6.931293023,6.58082385
"LRCH1",3.02839234,2.183645305,2.202887833,2.788268083,3.122175723,2.458644479
"LRCH3",5.268883482,5.224271853,4.86071455,5.410442871,5.207190069,5.117113193
"LRIG1",4.539531071,5.054848477,4.841268703,6.249957248,5.968874112,5.950771666
"LRIG2",6.495375381,6.562181356,6.55210036,6.524157729,6.598305648,6.764380659
