"","WS8V_1","WS8V_2","MCF7V_1","MCF7V_2","TAMRV_1","TAMRV_2"
"NSMCE1",4.89746772515263,4.92531207146034,4.89208566044998,4.87615612149077,5.15542756489016,5.33000372141672
"NSMCE2",5.31613694275961,5.34380410843448,5.15202860082085,5.01520173594136,5.12768404101402,4.97988747842171
"NSMCE3",4.09537361731022,4.16761193243188,3.83596460716232,3.85884961288904,3.52097526577648,3.73054671985289
"NSMCE4A",4.28872317146651,4.00044537038415,4.56275140978294,4.33682583753397,4.49021344013704,4.37041727117784
"NSMF",5.6964755109672,5.70041647782693,7.02886234010219,6.46519899499383,5.78916312500736,6.11552509230467
"NSRP1",4.51857411625769,4.41928273406903,4.34124500437615,4.20706283964626,4.55910946970913,4.41103843161829
"NSUN2",6.23891266456876,6.26186867488016,7.03787101076267,6.63168114208502,6.00628873119415,5.92275316996618
"NSUN3",3.78810973478441,3.69263693310445,4.06941944578388,3.70346914814771,4.00862991418925,3.79252369428644
"NSUN4",5.28760085402065,5.45639729818824,5.31456489806741,5.27640712837486,4.81421432267423,4.76834169047019
"NSUN5",5.18815353513004,5.56002116166623,5.47313272535462,5.33807657325237,5.06190970633465,5.43833240405203
"NSUN6",2.28197924142807,2.18731296172787,2.55581640954358,2.78045763227049,2.94541746169403,2.90232131779346
"NSUN7",1.45305222212016,0.906396823923556,2.59208212747908,2.45006547379541,3.03621887852837,2.68336363934719
"NT5C",4.49469979241101,4.67573959136502,5.01194077448429,4.62643588485197,4.12882468507139,4.4462474663513
"NT5C1A",0,0,0,0,0,0
"NT5C1B",0.393746003394611,0.373119946879584,0.120086193075846,0.165687256947313,0.298043636104197,0.431566501371336
"NT5C1B-RDH14",0,0,0,0.062627178353982,0,0
"NT5C2",6.51814700900289,6.775324294366,5.02046851243903,5.63233661583322,6.29887480860747,6.38743954343154
"NT5C3A",4.79407079358062,4.58256710154722,5.3645804605877,4.79722757181018,4.90223419733523,4.61119205561307
"NT5C3B",3.46648156003551,2.47500611266224,2.87137083806333,3.14827808406049,3.11242642908487,3.04900388783075
